trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-230.09,-17.33,226.89,234.60,3500,
1,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-214.46,-19.55,210.42,220.27,3500,
2,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-226.56,-27.93,221.27,235.28,3500,
3,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-223.49,-18.21,220.42,228.04,3500,
4,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-220.46,-20.76,217.80,225.08,3500,
5,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-230.55,-28.70,227.72,236.94,3500,
6,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-222.72,-16.89,220.46,226.26,3500,
7,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-226.80,-25.80,220.37,236.15,3500,
8,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-214.43,-21.08,209.52,221.41,3500,
9,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-220.05,-25.17,216.90,226.07,3500,
10,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-215.60,-24.09,210.71,223.18,3500,
11,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-224.08,-19.58,219.68,230.18,3500,
12,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-226.74,-27.36,222.23,234.55,3500,
13,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-221.87,-23.67,217.71,228.55,3500,
14,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-222.53,-21.46,220.22,226.91,3500,
15,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-227.15,-22.79,223.38,233.21,3500,
16,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-209.74,-21.64,207.26,214.46,3500,
17,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-226.74,-29.89,223.17,234.24,3500,
18,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-208.45,-19.18,204.91,213.75,3500,
19,bayesian_calibration_quick_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,-223.13,-20.77,220.35,227.84,3500,
