trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-225.14,-36.02,223.53,232.47,3500,
1,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-222.30,-31.48,219.39,229.64,3500,
2,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-221.12,-24.01,215.60,229.24,3500,
3,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.14,-20.36,210.74,217.48,3500,
4,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.86,-27.93,212.03,225.27,3500,
5,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.26,-18.08,207.62,220.43,3500,
6,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.65,-21.52,214.76,222.67,3500,
7,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-215.58,-19.89,211.82,221.17,3500,
8,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-209.05,-25.89,204.60,216.70,3500,
9,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-224.01,-17.51,221.39,228.00,3500,
10,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-227.71,-27.85,223.84,234.96,3500,
11,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-211.83,-20.19,207.58,218.01,3500,
12,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-227.58,-32.19,223.72,235.96,3500,
13,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.45,19.71,212.71,214.02,3500,
14,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.06,-37.72,215.90,230.64,3500,
15,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.71,-38.88,212.35,224.05,3500,
16,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-225.18,-24.64,219.32,233.73,3500,
17,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-223.36,-38.65,219.50,233.87,3500,
18,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.99,-25.62,208.02,225.00,3500,
19,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-225.90,-29.17,218.43,237.13,3500,
20,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-223.77,-31.34,219.43,232.48,3500,
21,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-222.52,-20.75,219.49,227.47,3500,
22,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.56,-27.87,210.25,220.48,3500,
23,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-201.43,-21.26,197.77,207.32,3500,
24,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-223.59,-30.42,218.72,232.58,3500,
25,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.61,-22.90,213.83,223.79,3500,
26,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-224.72,-32.02,221.23,232.76,3500,
27,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.86,-22.57,210.52,219.57,3500,
28,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.25,-21.28,211.72,222.86,3500,
29,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.80,-22.29,211.16,220.76,3500,
30,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.95,-14.65,210.58,218.31,3500,
31,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-221.31,-12.25,217.06,226.25,3500,
32,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.38,-26.30,214.85,229.05,3500,
33,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.22,-33.99,215.43,230.24,3500,
34,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-223.62,-28.26,217.28,233.52,3500,
35,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.56,-16.56,210.40,223.98,3500,
36,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-222.03,-25.77,218.03,229.01,3500,
37,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-219.29,-35.69,215.87,228.49,3500,
38,estimation_accuracy_iteration_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-211.52,-28.41,208.71,218.12,3500,
