trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-114.59,-50.12,115.39,134.74,3500,
1,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-103.57,-24.55,99.09,113.80,3500,
2,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-104.36,-10.90,99.51,110.34,3500,
3,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,0.968000,-100.26,-10.45,93.98,107.62,3500,
4,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-109.48,-43.24,111.78,123.64,3500,
5,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-110.86,-25.24,106.56,120.82,3500,
6,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-102.51,-23.61,100.98,109.41,3500,
7,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-98.09,-24.13,95.78,106.25,3500,
8,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-200.58,-56.52,200.73,216.05,3500,
9,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-100.33,-23.65,95.90,110.27,3500,
10,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.017000,-93.94,3.39,88.70,99.29,4500,
11,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-102.48,-27.86,102.39,109.99,3500,
12,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-104.88,-16.77,102.73,109.69,3500,
13,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-101.53,-29.09,102.19,109.04,3500,
14,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.001000,-87.43,-0.21,80.51,94.34,3500,
15,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-105.53,-38.83,104.26,120.63,3500,
16,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-103.13,-19.66,97.43,112.54,3500,
17,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,inconclusive,0.534000,-95.87,-9.24,89.51,103.11,5500,
18,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,inconclusive,0.432000,-92.70,-14.19,88.63,98.92,5500,
19,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-113.94,-39.16,114.03,126.94,3500,
20,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.006000,-89.24,-7.91,82.94,96.24,5500,
21,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-109.46,-37.34,110.73,120.58,3500,
22,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-125.01,-42.68,131.60,132.58,3500,
23,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-103.53,-25.60,102.57,110.73,3500,
24,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-103.79,-37.52,105.82,114.90,3500,
25,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.000000,-84.88,-6.06,84.40,85.80,3500,
26,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-103.38,-22.04,102.56,108.86,3500,
27,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-106.53,-39.26,109.42,117.65,3500,
28,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-102.04,-28.35,102.92,108.89,3500,
29,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-108.04,-32.14,105.62,119.83,3500,
30,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-109.15,-30.32,107.91,118.65,3500,
31,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,0.982000,-105.76,7.43,91.14,120.91,3500,
32,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,0.994000,-102.72,-10.56,95.35,111.17,3500,
33,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-101.21,-16.20,96.66,108.34,3500,
34,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-104.60,-26.75,103.85,112.08,3500,
35,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-108.30,-27.02,107.02,116.23,3500,
36,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-105.15,-23.25,102.51,112.86,3500,
37,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-98.41,-32.28,101.72,105.42,3500,
38,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-105.23,-32.46,104.78,115.46,3500,
39,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-107.25,-38.94,109.59,118.60,3500,
40,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-100.32,-23.02,98.65,107.20,3500,
41,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-101.74,-23.60,99.38,109.49,3500,
42,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-103.58,-32.85,104.43,112.91,3500,
43,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,pass,0.049000,-95.21,1.65,89.29,101.16,4500,
44,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-101.22,-26.08,99.85,109.20,3500,
45,estimation_accuracy_quick_adjacent_network_50ns,unknown,50,AdjacentNetwork,fail,1.000000,-108.60,-42.77,112.99,120.45,3500,
