trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.793000,-0.26,-0.25,0.00,1.06,5500,
1,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.905000,0.32,-0.22,0.00,1.07,5500,
2,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.990000,-0.77,0.64,0.19,1.82,3500,
3,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.780000,0.05,-0.35,0.00,1.08,5500,
4,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.987000,-0.86,0.06,0.08,1.65,3500,
5,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.994000,-0.95,-0.11,0.14,1.78,3500,
6,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.944000,0.18,-0.76,0.00,1.63,3500,
7,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.954000,0.50,-0.27,0.00,1.34,4500,
8,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.923000,-0.48,-0.33,0.00,1.34,5500,
9,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.997000,-0.95,-0.58,0.35,1.87,3500,
10,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.997000,0.86,-0.27,0.16,1.65,3500,
11,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,0.986000,0.62,-0.77,0.13,1.84,4500,
12,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.924000,-0.59,0.15,0.00,1.54,3500,
13,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.920000,-0.21,-0.82,0.03,1.67,5500,
14,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.07,-0.69,0.30,1.09,3500,
15,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,1.000000,-2.03,0.30,1.07,3.05,3500,
16,fpr_quick_fixed_vs_fixed,fpr,0,unknown,inconclusive,0.928000,-0.64,-0.29,0.00,1.64,5500,
