trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,3.32,-5.03,3.91,8.14,3500,
1,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.80,3.14,0.96,5.52,3500,
2,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.64,-3.13,1.51,4.89,3500,
3,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.41,-0.09,0.00,2.72,3500,
4,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.67,-4.37,2.84,6.52,3500,
5,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,3.54,-6.77,5.80,9.46,3500,
6,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.55,0.26,0.00,1.96,3500,
7,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.10,-4.65,2.91,6.39,3500,
8,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.90,0.54,0.00,5.00,3500,
9,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.45,4.13,1.58,6.73,3500,
10,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.15,0.82,0.00,3.27,3500,
11,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.23,5.62,4.18,7.33,3500,
12,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-3.84,5.21,4.75,8.19,3500,
13,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.55,-1.71,0.00,3.89,3500,
14,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.56,-0.34,0.00,2.78,3500,
15,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-4.29,2.10,3.02,6.53,4500,
16,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.66,-0.43,0.00,2.76,3500,
17,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.71,-5.34,3.63,7.59,3500,
18,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.75,-4.73,3.05,7.04,3500,
19,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-2.38,1.31,0.94,4.50,3500,
20,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.45,2.15,0.55,4.65,3500,
21,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.82,-0.99,0.00,3.30,3500,
22,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.31,3.38,1.76,5.49,3500,
23,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.51,-2.28,0.68,4.00,3500,
24,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.49,2.72,1.29,4.23,3500,
25,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.79,-8.10,6.37,10.21,3500,
26,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.69,-0.10,0.00,3.49,3500,
27,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.43,-6.47,5.26,8.56,3500,
28,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.21,1.37,0.00,3.35,3500,
29,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-3.42,-0.33,1.52,5.36,3500,
30,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.69,-7.38,6.10,9.61,3500,
31,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.28,0.44,0.00,3.67,3500,
32,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.00,-0.92,0.00,2.85,3500,
33,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-2.13,-2.98,1.89,5.43,3500,
34,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-2.10,-1.32,0.78,4.19,3500,
35,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.87,1.27,0.00,4.53,3500,
36,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.92,-5.44,3.79,7.74,3500,
37,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.19,1.39,0.00,3.29,3500,
38,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,4.92,-6.52,6.80,9.54,3500,
39,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.18,-6.68,4.91,8.67,3500,
40,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.10,1.20,0.00,3.18,3500,
41,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.12,-1.40,0.00,3.47,3500,
42,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.14,-4.64,1.38,8.18,3500,
43,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.44,-0.47,0.00,2.48,3500,
44,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-3.04,-1.43,1.55,5.16,3500,
45,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.83,3.37,1.45,5.49,3500,
46,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,3.62,0.60,1.91,5.43,3500,
47,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.89,4.46,3.78,6.84,3500,
48,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.032000,5.50,-5.73,5.35,10.52,3500,
49,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.11,-7.23,5.24,9.82,3500,
50,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.98,-1.84,0.00,6.15,3500,
51,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.43,1.34,0.80,4.74,3500,
52,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.65,2.11,0.40,4.96,3500,
53,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.07,3.14,1.34,5.29,3500,
54,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.76,3.04,1.09,5.19,3500,
55,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,3.79,-4.95,3.87,8.60,3500,
56,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.99,-5.14,2.61,7.85,3500,
57,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-2.08,-0.65,0.00,4.85,3500,
58,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.27,-1.03,0.00,3.71,3500,
59,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.38,4.02,1.27,7.23,3500,
60,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.51,-0.02,0.00,2.54,3500,
61,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.94,-2.71,0.39,5.35,3500,
62,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.76,2.45,0.71,4.42,3500,
63,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.42,-4.12,1.62,6.67,3500,
64,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.50,1.16,0.00,3.25,3500,
65,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-2.38,-3.01,1.80,5.87,3500,
66,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.039000,-5.67,6.07,6.41,10.20,3500,
67,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.70,-1.46,0.00,3.27,3500,
68,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.08,-1.29,0.00,3.50,3500,
69,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.03,-0.03,0.00,2.04,3500,
70,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-2.35,-4.14,2.87,6.65,3500,
71,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.30,-0.87,0.00,3.21,3500,
72,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.93,-1.35,0.76,3.96,3500,
73,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.33,-6.46,3.82,9.36,3500,
74,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.46,0.61,1.02,4.04,3500,
75,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.42,-0.67,0.00,4.43,3500,
76,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.47,-1.07,0.00,3.32,3500,
77,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.04,1.80,0.00,4.22,3500,
78,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.55,-2.87,1.63,6.04,3500,
79,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,3.72,2.78,1.88,7.41,3500,
80,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.79,-0.19,0.00,3.08,3500,
81,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.22,-0.37,0.03,4.47,3500,
82,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.10,0.85,0.00,2.92,3500,
83,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-2.54,4.38,3.29,6.84,3500,
84,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.16,-0.68,0.00,2.45,3500,
85,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,4.46,-6.98,6.41,10.16,3500,
86,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.30,-3.70,1.25,6.17,3500,
87,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.13,-0.73,0.00,3.22,3500,
88,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-2.79,-0.66,0.58,5.15,3500,
89,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-3.00,-5.47,4.35,8.13,3500,
90,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,3.58,-7.38,6.37,10.04,3500,
91,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.23,0.59,0.00,3.76,3500,
92,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-1.70,-1.78,0.76,4.17,3500,
93,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.43,-1.00,0.00,2.95,3500,
94,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.98,-0.27,0.00,4.21,3500,
95,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,1.00,-0.01,0.00,2.83,3500,
96,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.13,0.15,0.00,2.25,3500,
97,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,-0.40,1.71,0.00,3.91,3500,
98,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,0.45,0.75,0.00,2.60,3500,
99,fpr_quick_random_vs_random,fpr,0,unknown,pass,0.000000,2.12,2.68,1.33,5.52,3500,
