trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-532.73,-25.11,530.92,535.72,3500,
1,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-541.71,-83.28,543.34,552.81,3500,
2,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-498.53,-19.13,496.11,501.68,3500,
3,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-508.36,-27.48,507.63,510.58,3500,
4,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-522.63,-55.51,520.39,530.76,3500,
5,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-504.18,-18.19,501.93,507.09,3500,
6,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-467.48,-23.52,464.51,471.63,3500,
7,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-497.22,-43.42,495.65,502.58,3500,
8,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-519.87,-44.49,520.15,523.39,3500,
9,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2649.08,-79.38,2645.55,2654.99,3500,
10,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-508.71,-25.97,507.42,511.32,3500,
11,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-516.45,-23.15,514.25,519.69,3500,
12,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2593.19,-17.89,2588.31,2598.19,3500,
13,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-503.45,-17.98,501.48,506.06,3500,
14,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-513.80,-54.25,514.18,519.12,3500,
15,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2618.74,-68.14,2608.37,2630.88,3500,
16,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-501.23,-31.29,496.58,507.84,3500,
17,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-502.75,-35.33,501.65,506.34,3500,
18,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-512.25,-15.54,509.51,515.46,3500,
19,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-526.81,-50.69,525.24,533.25,3500,
20,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-491.81,-14.86,489.39,494.68,3500,
21,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-484.69,-27.44,483.24,487.68,3500,
22,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-507.84,-7.71,502.90,512.89,3500,
23,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-506.39,-60.99,508.25,511.85,3500,
24,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-533.05,-34.05,532.20,536.08,3500,
25,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-509.38,-68.50,511.48,516.46,3500,
26,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-474.02,-46.58,473.53,479.07,3500,
27,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-492.88,-25.08,490.76,496.28,3500,
28,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-501.79,-23.20,499.84,504.81,3500,
29,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-504.96,-41.21,504.80,508.48,3500,
30,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-516.91,-29.02,515.21,520.24,3500,
31,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-518.85,-38.43,516.46,524.07,3500,
32,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-521.88,-32.46,520.20,525.59,3500,
33,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-510.67,-59.76,510.21,518.10,3500,
34,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-500.58,-18.88,498.68,503.18,3500,
35,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-494.98,-16.04,492.26,498.22,3500,
36,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-502.89,-20.19,501.38,505.21,3500,
37,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2595.71,-32.84,2588.90,2602.94,3500,
38,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-507.22,-1.15,505.55,508.90,3500,
39,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-499.65,-24.08,497.50,502.95,3500,
40,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-497.89,4.91,494.96,500.87,3500,
41,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-501.19,-39.18,500.98,504.45,3500,
42,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2653.92,-129.81,2650.79,2663.39,3500,
43,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2663.85,-87.40,2659.38,2671.19,3500,
44,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-499.36,-35.32,498.71,502.50,3500,
45,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-506.07,-33.84,503.15,511.26,3500,
46,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-494.17,-21.04,492.89,496.35,3500,
47,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2620.34,-84.02,2611.99,2631.39,3500,
48,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2663.32,-89.33,2662.48,2667.16,3500,
49,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-503.16,-27.17,501.69,506.10,3500,
50,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-485.77,-27.04,484.27,488.77,3500,
51,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-494.87,-31.11,493.22,498.47,3500,
52,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-493.10,-25.14,490.27,497.22,3500,
53,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-503.13,-22.14,502.00,505.23,3500,
54,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-490.96,-27.89,489.82,493.69,3500,
55,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-485.54,-25.15,483.77,488.60,3500,
56,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-528.06,-17.10,525.02,531.65,3500,
57,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-498.37,-30.42,496.42,502.18,3500,
58,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2659.04,-115.56,2654.53,2668.58,3500,
59,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-2639.21,-116.40,2640.30,2643.26,3500,
60,power_iteration_adjacent_network,power,0,unknown,fail,1.000000,-508.05,-37.28,507.71,511.12,3500,
