trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-226.54,-26.14,226.34,229.75,3500,
1,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.63,-31.88,223.26,226.54,3500,
2,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-234.30,-16.42,231.99,237.77,3500,
3,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-219.76,-21.66,219.86,221.79,3500,
4,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-230.10,-14.65,228.86,232.28,3500,
5,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-225.55,-20.91,225.66,227.37,3500,
6,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.98,-14.78,221.99,224.96,3500,
7,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.92,-26.11,223.41,225.47,3500,
8,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-225.49,-19.48,225.43,227.23,3500,
9,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-224.00,-19.04,223.82,225.81,3500,
10,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-240.35,-24.56,239.89,243.32,3500,
11,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-220.89,-16.84,220.12,222.94,3500,
12,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-231.93,-28.23,231.06,236.24,3500,
13,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-218.64,-19.57,218.06,220.97,3500,
14,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.88,-25.44,223.17,225.47,3500,
15,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-227.01,-20.14,226.60,229.21,3500,
16,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-219.21,-30.56,219.61,223.05,3500,
17,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-228.52,-18.41,227.99,230.53,3500,
18,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.18,-26.53,222.57,224.95,3500,
19,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-220.27,-22.71,219.67,223.21,3500,
20,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-227.39,-26.94,227.73,230.23,3500,
21,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-216.93,-26.00,216.95,220.01,3500,
22,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-217.03,-31.14,217.46,221.05,3500,
23,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-237.51,-17.69,235.77,240.56,3500,
24,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-223.76,-21.00,222.38,227.10,3500,
25,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-217.32,-35.04,218.86,221.39,3500,
26,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-217.69,-21.98,216.50,221.09,3500,
27,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-226.56,-32.51,226.31,231.45,3500,
28,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-224.22,-22.36,222.36,228.30,3500,
29,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-232.25,-28.87,231.95,236.12,3500,
30,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.52,-32.57,223.90,225.89,3500,
31,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-230.49,-27.97,230.63,233.74,3500,
32,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.26,-26.25,221.62,225.99,3500,
33,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-217.63,-26.26,218.20,220.21,3500,
34,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-227.37,-27.73,227.45,230.65,3500,
35,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-215.34,-31.89,215.68,219.71,3500,
36,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-219.01,-24.36,218.89,221.83,3500,
37,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-215.54,-26.70,215.02,219.35,3500,
38,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-212.75,-32.93,213.00,217.57,3500,
39,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-218.80,-25.90,219.32,221.34,3500,
40,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-225.44,-17.83,224.91,227.39,3500,
41,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-225.05,-22.30,224.35,227.94,3500,
42,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-234.19,-25.59,234.90,236.27,3500,
43,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-217.29,-18.51,216.46,219.69,3500,
44,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-223.84,-21.28,222.89,226.80,3500,
45,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-238.83,-26.95,238.82,241.88,3500,
46,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-217.63,-29.41,218.37,220.85,3500,
47,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.17,-16.53,221.52,224.06,3500,
48,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-219.46,-23.36,219.64,221.77,3500,
49,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-227.30,-24.27,227.33,229.86,3500,
50,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-221.19,-30.37,221.70,224.84,3500,
51,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-229.94,-20.29,229.09,232.58,3500,
52,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.84,-22.03,222.43,225.43,3500,
53,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-225.12,-21.76,224.39,227.95,3500,
54,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.55,-22.76,221.71,225.71,3500,
55,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-225.48,-19.29,225.06,227.54,3500,
56,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-233.37,-16.94,233.00,234.98,3500,
57,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-226.54,-20.58,225.85,229.08,3500,
58,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-220.04,-18.42,219.51,222.12,3500,
59,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-223.51,-18.07,222.81,225.67,3500,
60,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-224.63,-15.35,222.39,227.91,3500,
61,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.21,-15.49,221.47,224.04,3500,
62,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-222.39,-17.54,221.89,224.28,3500,
63,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-224.44,-17.62,224.09,226.18,3500,
64,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-225.41,-16.08,224.31,227.67,3500,
65,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-216.25,-16.33,215.49,218.23,3500,
66,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-228.40,-20.96,227.24,231.49,3500,
67,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-224.58,-24.38,223.83,227.96,3500,
68,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-242.60,-24.93,242.85,244.91,3500,
69,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-228.82,-23.87,228.85,231.27,3500,
70,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-224.17,-27.85,224.81,226.97,3500,
