trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-27.42,7.46,27.92,28.90,3500,
1,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-48.92,3.44,48.60,49.49,3500,
2,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-37.03,2.70,36.64,37.61,3500,
3,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2240.43,-152.34,2226.56,2264.64,3500,
4,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-22.54,3.36,22.30,23.27,3500,
5,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-37.71,5.36,37.61,38.57,3500,
6,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-17.54,1.15,17.09,18.07,3500,
7,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-25.21,-0.47,24.73,25.70,3500,
8,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-32.93,3.15,32.58,33.57,3500,
9,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-16.65,0.91,16.19,17.16,3500,
10,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-27.01,3.96,26.78,27.81,3500,
11,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-28.57,4.50,28.44,29.40,3500,
12,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-63.84,-4.53,63.57,64.42,3500,
13,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-35.62,-0.65,35.15,36.11,3500,
14,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-18.93,2.69,18.60,19.65,3500,
15,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-15.25,2.07,14.86,15.91,3500,
16,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-42.04,4.51,41.80,42.77,3500,
17,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-28.11,3.67,27.86,28.84,3500,
18,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-25.81,0.15,25.32,26.30,3500,
19,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-32.96,2.23,32.55,33.52,3500,
20,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-34.65,2.00,34.23,35.19,3500,
21,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-37.10,5.93,37.09,38.04,3500,
22,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-23.54,2.47,23.16,24.17,3500,
23,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-36.19,4.13,35.95,36.90,3500,
24,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-35.66,2.26,35.25,36.22,3500,
25,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2106.13,13.62,2075.90,2136.45,3500,
26,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-12.02,4.06,12.18,13.21,3500,
27,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-39.54,3.24,39.20,40.14,3500,
28,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2303.25,-10.27,2302.16,2304.39,3500,
29,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2292.50,-2.47,2291.59,2293.42,3500,
30,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-20.52,1.78,20.09,21.11,3500,
31,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2289.13,-27.54,2278.63,2299.97,3500,
32,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-30.13,2.36,29.74,30.71,3500,
33,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-20.32,4.82,20.38,21.38,3500,
34,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-21.38,3.68,21.19,22.20,3500,
35,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-33.96,-0.52,33.51,34.42,3500,
36,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-20.68,-0.50,20.20,21.16,3500,
37,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-34.68,2.15,34.26,35.24,3500,
38,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-18.80,4.02,18.75,19.71,3500,
39,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-17.54,3.66,17.42,18.41,3500,
40,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-19.59,2.44,19.24,20.24,3500,
41,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-47.59,6.35,47.54,48.48,3500,
42,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-2292.78,-3.71,2290.94,2294.63,3500,
43,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-16.79,3.60,16.71,17.64,3500,
44,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-41.62,4.61,41.40,42.34,3500,
45,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-26.47,4.64,26.40,27.35,3500,
46,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-74.53,12.69,75.15,76.04,3500,
47,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-23.62,4.95,23.64,24.63,3500,
48,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-27.59,5.81,27.70,28.69,3500,
49,power_quick_2x_theta_research,power,0,unknown,fail,1.000000,-24.73,1.02,24.26,25.23,3500,
