mu_mult,phi,trials,rejections,rejection_rate,ci_low,ci_high
0.00,-0.80,200,0,0.0000,0.0000,0.0183
0.00,-0.60,200,0,0.0000,0.0000,0.0183
0.00,-0.40,200,0,0.0000,0.0000,0.0183
0.00,-0.20,200,0,0.0000,0.0000,0.0183
0.00,0.00,200,0,0.0000,0.0000,0.0183
0.00,0.20,200,0,0.0000,0.0000,0.0183
0.00,0.40,200,0,0.0000,0.0000,0.0183
0.00,0.60,200,0,0.0000,0.0000,0.0183
0.00,0.80,200,0,0.0000,0.0000,0.0183
0.50,-0.80,200,0,0.0000,0.0000,0.0183
0.50,-0.60,200,0,0.0000,0.0000,0.0183
0.50,-0.40,200,0,0.0000,0.0000,0.0183
0.50,-0.20,200,0,0.0000,0.0000,0.0183
0.50,0.00,200,0,0.0000,0.0000,0.0183
0.50,0.20,200,0,0.0000,0.0000,0.0183
0.50,0.40,200,0,0.0000,0.0000,0.0183
0.50,0.60,200,0,0.0000,0.0000,0.0183
0.50,0.80,200,0,0.0000,0.0000,0.0183
1.00,-0.80,200,200,1.0000,0.9817,1.0000
1.00,-0.60,200,200,1.0000,0.9817,1.0000
1.00,-0.40,200,200,1.0000,0.9817,1.0000
1.00,-0.20,200,200,1.0000,0.9817,1.0000
1.00,0.00,200,200,1.0000,0.9817,1.0000
1.00,0.20,200,200,1.0000,0.9817,1.0000
1.00,0.40,200,200,1.0000,0.9817,1.0000
1.00,0.60,200,200,1.0000,0.9817,1.0000
1.00,0.80,200,194,0.9700,0.9361,0.9862
1.50,-0.80,200,200,1.0000,0.9817,1.0000
1.50,-0.60,200,200,1.0000,0.9817,1.0000
1.50,-0.40,200,200,1.0000,0.9817,1.0000
1.50,-0.20,200,200,1.0000,0.9817,1.0000
1.50,0.00,200,200,1.0000,0.9817,1.0000
1.50,0.20,200,200,1.0000,0.9817,1.0000
1.50,0.40,200,200,1.0000,0.9817,1.0000
1.50,0.60,200,200,1.0000,0.9817,1.0000
1.50,0.80,200,200,1.0000,0.9817,1.0000
2.00,-0.80,200,200,1.0000,0.9817,1.0000
2.00,-0.60,200,200,1.0000,0.9817,1.0000
2.00,-0.40,200,200,1.0000,0.9817,1.0000
2.00,-0.20,200,200,1.0000,0.9817,1.0000
2.00,0.00,200,200,1.0000,0.9817,1.0000
2.00,0.20,200,200,1.0000,0.9817,1.0000
2.00,0.40,200,200,1.0000,0.9817,1.0000
2.00,0.60,200,200,1.0000,0.9817,1.0000
2.00,0.80,200,200,1.0000,0.9817,1.0000
