trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,187.88,0.01,186.43,189.33,3500,
1,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,201.90,0.65,200.30,203.51,3500,
2,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,207.28,0.75,206.32,208.24,3500,
3,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,197.94,2.86,196.80,199.12,3500,
4,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,199.85,-0.19,198.67,201.02,3500,
5,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,201.33,-1.40,200.09,202.57,3500,
6,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,186.76,-0.62,185.68,187.84,3500,
7,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,180.93,-1.48,179.42,182.46,3500,
8,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,188.10,2.53,185.18,191.06,3500,
9,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,189.39,-0.83,188.41,190.37,3500,
10,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,193.73,1.70,192.50,194.99,3500,
11,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,184.63,1.36,183.36,185.91,3500,
12,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,205.69,0.90,204.45,206.94,3500,
13,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,187.75,-0.33,186.49,189.01,3500,
14,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,188.66,1.46,187.52,189.82,3500,
15,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,187.52,-0.87,186.88,188.17,3500,
16,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,190.06,0.78,189.02,191.10,3500,
17,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,197.28,-2.96,196.07,198.53,3500,
18,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,194.67,-1.06,193.18,196.17,3500,
19,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,197.30,0.10,196.30,198.29,3500,
20,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,201.23,0.40,200.46,202.00,3500,
21,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,197.69,-1.88,196.38,199.01,3500,
22,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,192.91,1.00,191.92,193.90,3500,
23,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,194.10,-0.81,192.88,195.31,3500,
24,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,197.03,-0.81,195.97,198.09,3500,
25,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,200.06,-0.08,198.97,201.16,3500,
26,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,187.86,0.08,186.90,188.82,3500,
27,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,195.62,0.98,194.23,197.02,3500,
28,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,195.87,-1.23,194.24,197.50,3500,
29,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,187.20,-0.21,186.24,188.16,3500,
30,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,189.19,-2.04,186.69,191.72,3500,
31,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,210.44,5.68,203.13,217.91,3500,
32,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,191.52,0.14,190.74,192.30,3500,
33,bayesian_calibration_iteration_adjacent_network_2.0x,unknown,200,AdjacentNetwork,fail,1.000000,190.12,1.91,188.90,191.35,3500,
