trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,115.36,2.19,113.61,117.14,3500,
1,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,119.94,0.92,119.34,120.55,3500,
2,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,115.66,1.63,114.45,116.90,3500,
3,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,114.72,-0.51,113.76,115.67,3500,
4,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,108.62,0.77,107.89,109.36,3500,
5,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,114.14,-1.07,112.89,115.41,3500,
6,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,108.53,-0.22,107.85,109.22,3500,
7,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,118.81,0.06,117.88,119.74,3500,
8,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,120.08,0.80,117.73,122.44,3500,
9,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,107.94,-0.99,106.90,108.98,3500,
10,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,116.00,-0.19,115.23,116.77,3500,
11,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,122.18,-0.91,121.34,123.02,3500,
12,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,111.63,0.71,110.76,112.50,3500,
13,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,120.37,2.08,119.40,121.39,3500,
14,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,118.82,0.56,117.58,120.07,3500,
15,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,118.27,0.41,117.27,119.28,3500,
16,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,121.85,0.57,120.03,123.67,3500,
17,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,115.59,0.84,114.42,116.76,3500,
18,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,115.97,-0.66,114.91,117.04,3500,
19,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,117.16,0.40,115.61,118.70,3500,
20,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,119.49,0.95,118.11,120.88,3500,
21,bayesian_calibration_quick_adjacent_network_1.0x,unknown,100,AdjacentNetwork,fail,1.000000,118.61,-4.73,116.85,120.57,3500,
