trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-232.71,-35.06,228.01,242.66,3500,
1,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-223.68,-26.87,218.34,232.25,3500,
2,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-219.62,-29.56,215.46,227.73,3500,
3,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-228.01,-33.91,224.07,236.96,3500,
4,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-231.44,-32.36,228.01,239.36,3500,
5,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.37,-24.95,215.77,221.83,3500,
6,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-210.18,-28.84,206.02,218.27,3500,
7,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.80,-22.31,208.36,219.56,3500,
8,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.83,-36.05,215.86,223.76,3500,
9,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.89,-25.84,216.32,228.47,3500,
10,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.50,-32.88,217.47,228.41,3500,
11,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.24,-25.41,208.93,218.59,3500,
12,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-232.89,-18.62,224.95,242.31,3500,
13,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-224.82,-26.92,222.60,230.26,3500,
14,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.01,-27.75,207.96,223.64,3500,
15,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-227.23,-25.59,224.33,233.01,3500,
16,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-215.53,-30.16,213.64,221.61,3500,
17,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.05,-14.22,208.76,218.28,3500,
18,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.54,-30.36,210.15,219.24,3500,
19,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-218.98,-33.21,215.92,227.04,3500,
20,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-221.75,-28.26,219.62,227.47,3500,
21,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-224.22,-30.42,219.44,233.11,3500,
22,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-223.51,-23.97,218.39,231.20,3500,
23,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.92,-35.34,211.44,224.18,3500,
24,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.90,-27.93,213.63,223.76,3500,
25,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.73,-11.86,207.72,218.40,3500,
26,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-221.30,-26.39,216.86,228.87,3500,
27,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.79,-24.91,212.21,224.23,3500,
28,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.66,-23.17,212.04,223.75,3500,
29,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.91,-12.25,209.21,221.30,3500,
30,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.89,-19.47,213.99,221.53,3500,
31,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.34,-17.85,211.20,218.98,3500,
32,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-221.37,-34.99,217.13,231.11,3500,
33,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-215.49,-12.73,208.16,223.58,3500,
34,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.45,-20.96,211.29,219.66,3500,
35,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-215.92,-18.85,211.28,222.20,3500,
36,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-210.76,-27.55,206.08,219.02,3500,
37,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.69,-30.75,215.71,224.00,3500,
38,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.41,-23.55,209.96,217.47,3500,
39,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.59,-35.73,212.10,223.00,3500,
40,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-227.21,-16.13,223.71,231.86,3500,
41,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-216.01,-24.66,211.41,223.41,3500,
42,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-215.82,-38.46,211.79,226.64,3500,
43,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-223.59,-23.36,220.37,229.25,3500,
44,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.95,-19.90,216.87,226.81,3500,
45,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-223.55,-23.11,218.55,230.94,3500,
46,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-218.19,-24.45,215.01,224.09,3500,
47,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-221.09,-24.55,216.69,228.21,3500,
48,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-226.53,-35.48,223.80,234.78,3500,
49,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-218.16,-24.30,215.38,223.63,3500,
50,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.21,-26.69,217.65,226.00,3500,
51,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-234.16,-39.00,229.99,244.79,3500,
52,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-227.74,-32.33,222.20,237.84,3500,
53,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.95,-22.44,209.42,218.85,3500,
54,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.99,-24.91,210.41,222.44,3500,
55,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.03,-27.32,211.15,220.38,3500,
56,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-211.81,-30.55,209.09,218.91,3500,
57,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-205.70,-26.13,203.37,211.34,3500,
58,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.93,-30.45,211.59,220.59,3500,
59,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-218.42,-35.28,216.02,226.47,3500,
60,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.41,-19.72,211.06,219.58,3500,
61,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.85,-26.34,210.26,220.67,3500,
62,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.77,-29.13,212.06,221.41,3500,
63,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.81,-26.31,208.62,220.23,3500,
64,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.76,-27.94,212.69,220.45,3500,
65,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.54,-20.73,210.33,218.76,3500,
66,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.60,-19.05,216.58,226.27,3500,
67,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.56,-30.53,217.11,228.22,3500,
68,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.54,-31.48,212.27,227.34,3500,
69,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.79,-27.08,218.41,226.48,3500,
70,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.72,-25.96,210.45,218.15,3500,
71,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-211.22,-22.12,208.82,215.93,3500,
72,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.54,-18.21,208.43,218.20,3500,
73,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.00,-43.86,213.72,221.21,3500,
74,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-212.85,-31.56,209.20,221.16,3500,
75,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-233.03,-21.93,225.72,242.39,3500,
76,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.58,-29.63,217.45,227.68,3500,
77,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-220.52,-25.62,218.12,225.88,3500,
78,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-221.31,-9.83,213.97,229.08,3500,
79,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-218.34,-24.82,213.55,225.95,3500,
80,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-207.61,-7.89,204.16,211.36,3500,
81,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.44,-23.48,211.84,219.61,3500,
82,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-214.52,-22.87,211.13,220.34,3500,
83,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-219.26,-26.52,216.30,225.42,3500,
84,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-211.01,-21.17,208.05,216.08,3500,
85,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-210.99,-30.68,208.11,218.31,3500,
86,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-218.48,-25.39,216.03,223.87,3500,
87,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.01,-25.46,213.04,223.95,3500,
88,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-213.87,-27.80,210.60,220.75,3500,
89,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.74,-26.06,215.23,223.36,3500,
90,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.46,-25.79,210.89,227.08,3500,
91,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-218.37,-25.18,215.42,224.21,3500,
92,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-221.40,-28.02,216.68,229.66,3500,
93,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-210.00,-30.36,207.88,216.49,3500,
94,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-230.98,-37.14,223.90,244.00,3500,
95,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-232.03,-31.71,227.93,240.45,3500,
96,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-231.46,-27.68,228.18,238.04,3500,
97,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-219.90,-32.46,217.07,227.51,3500,
98,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-215.46,-26.34,213.03,221.10,3500,
99,estimation_accuracy_quick_adjacent_network_200ns,unknown,200,AdjacentNetwork,fail,1.000000,-217.28,-36.17,213.91,226.63,3500,
