trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,fpr_quick_fixed_vs_fixed,fpr,0,unknown,fail,1.000000,2.35,21.93,20.97,23.14,5500,
1,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.47,0.17,0.00,1.90,3500,
2,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-3.52,1.44,2.36,5.24,3500,
3,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.38,-0.65,1.19,3.75,3500,
4,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.75,-0.99,0.00,3.17,3500,
5,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.47,-3.62,2.45,6.30,3500,
6,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-5.52,-0.22,3.78,7.26,3500,
7,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.009000,-5.30,-6.73,7.38,9.75,5500,
8,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.89,-3.07,1.51,4.89,3500,
9,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.008000,-7.41,3.13,6.56,9.53,3500,
10,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,2.94,2.68,2.41,5.53,3500,
11,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.76,0.90,0.00,2.51,3500,
12,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-1.77,-0.41,0.52,3.12,3500,
13,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,1.68,6.83,5.65,8.42,3500,
14,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-5.09,-1.74,3.82,6.95,3500,
15,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.70,2.40,0.56,4.43,3500,
16,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-1.40,-5.61,4.02,7.55,3500,
17,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.29,-2.78,2.37,4.83,3500,
18,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,1.08,0.65,0.00,2.61,3500,
19,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-1.40,-1.75,0.86,3.63,3500,
20,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-3.93,0.10,2.36,5.49,3500,
21,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.59,2.52,1.54,5.69,3500,
22,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.65,-2.59,1.18,4.16,3500,
23,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,1.08,3.23,1.41,5.41,3500,
24,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.09,-1.85,0.28,3.42,3500,
25,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.18,-0.15,0.00,1.85,3500,
26,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.77,-9.29,8.39,10.99,4500,
27,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.15,-0.46,0.00,2.14,3500,
28,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.92,-1.27,0.01,3.12,3500,
29,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,22.66,7.64,15.58,32.25,3500,
30,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.004000,-5.42,1.69,2.40,8.96,3500,
31,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,3.11,2.14,1.81,5.75,3500,
32,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,12.85,39.93,37.88,46.02,3500,
33,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-1.58,-0.82,0.21,3.35,3500,
34,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.17,-0.50,0.00,1.84,3500,
35,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.93,-3.34,0.00,7.07,3500,
36,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.42,3.78,3.02,5.95,3500,
37,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,2.06,2.93,1.09,6.07,3500,
38,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-5.23,-2.74,4.17,7.64,3500,
39,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.34,-5.16,4.07,7.26,3500,
40,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.86,-5.87,4.46,8.61,3500,
41,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.65,-1.49,0.56,2.70,3500,
42,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.76,-2.62,2.55,5.06,3500,
43,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.93,3.11,1.82,4.68,3500,
44,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.98,-0.44,0.65,5.37,4500,
45,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-3.00,-5.49,4.51,8.01,3500,
46,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-4.87,-0.48,2.92,6.86,3500,
47,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.52,-4.49,3.42,6.88,3500,
48,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.94,0.18,0.00,2.27,3500,
49,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.63,3.11,1.76,4.58,3500,
50,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-3.92,-2.94,3.50,6.31,3500,
51,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.31,-2.37,1.70,4.92,3500,
52,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,0.66,-0.39,0.00,2.08,3500,
53,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-3.73,-0.06,1.51,5.95,3500,
54,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-0.76,-0.19,0.00,2.46,3500,
55,fpr_quick_fixed_vs_fixed,fpr,0,unknown,pass,0.000000,-2.24,-1.74,1.15,4.52,3500,
