trial,test_name,test_type,injected_effect_ns,attacker_model,decision,leak_probability,shift_ns,tail_ns,ci_low_ns,ci_high_ns,samples_per_class,elapsed_ms
0,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-220.86,-30.91,220.86,225.17,3500,
1,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-230.87,-13.85,228.73,233.84,3500,
2,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-238.19,-29.99,236.28,243.85,3500,
3,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-2172.23,-70.13,2172.62,2174.10,3500,
4,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-216.50,-17.21,215.16,219.21,3500,
5,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-2224.42,-169.31,2219.40,2242.32,3500,
6,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-2308.77,-64.38,2308.71,2310.62,3500,
7,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-2210.60,-108.07,2199.25,2227.24,3500,
8,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-233.93,-38.73,233.29,240.94,3500,
9,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-2227.68,-105.14,2229.14,2231.19,3500,
10,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-224.08,-22.32,223.68,226.70,3500,
11,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-2212.53,-95.42,2201.44,2227.74,3500,
12,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-211.03,-12.08,209.28,213.47,3500,
13,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-203.39,-30.52,203.17,208.16,3500,
14,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-225.43,-27.81,224.99,229.29,3500,
15,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-217.57,-17.12,215.88,220.62,3500,
16,power_quick_2x_theta_adjacent_network,power,0,unknown,fail,1.000000,-220.72,-20.80,219.79,223.61,3500,
