config,group,value,attacker,attacker_threshold_ns,n_null,fpr,fpr_ci_lo,fpr_ci_hi,incon_null,incon_null_ci_lo,incon_null_ci_hi,n_pos_1sig_shift,detect_1sig_shift,detect_1sig_shift_ci_lo,detect_1sig_shift_ci_hi,n_pos_1sig_tail,detect_1sig_tail,detect_1sig_tail_ci_lo,detect_1sig_tail_ci_hi,n_pos_2sig_shift,detect_2sig_shift,detect_2sig_shift_ci_lo,detect_2sig_shift_ci_hi
Baseline (defaults),—,π₀=0.62 α=.05 β=.95 kl=0.7 ν_ℓ=8 ν=4,AdjacentNetwork,100.0,440,0.0,0.0,0.008655340103316136,0.0,0.0,0.008655340103316136,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698
Baseline (defaults),—,π₀=0.62 α=.05 β=.95 kl=0.7 ν_ℓ=8 ν=4,SharedHardware,0.4,440,0.0,0.0,0.008655340103316136,0.6863636363636364,0.6415554014868744,0.7279457899291625,240,1.0,0.9842455102000642,1.0,240,0.9125,0.8699439436313522,0.9420586022837009,240,1.0,0.9842455102000642,1.0
π₀ = 0.50,π₀,0.50,AdjacentNetwork,100.0,440,0.0,0.0,0.008655340103316136,0.0,0.0,0.008655340103316136,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698
π₀ = 0.50,π₀,0.50,SharedHardware,0.4,440,0.0,0.0,0.008655340103316136,0.6659090909090909,0.6205680604823983,0.7083781221196831,240,1.0,0.9842455102000642,1.0,240,0.7958333333333333,0.7403636423953006,0.8419816178064039,240,1.0,0.9842455102000642,1.0
π₀ = 0.75,π₀,0.75,AdjacentNetwork,100.0,440,0.0,0.0,0.008655340103316136,0.0,0.0,0.008655340103316136,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698
π₀ = 0.75,π₀,0.75,SharedHardware,0.4,440,0.0,0.0,0.008655340103316136,0.7,0.6556002312938395,0.7409376326648339,240,1.0,0.9842455102000642,1.0,240,0.9333333333333333,0.8944613171296094,0.9585514583771129,240,1.0,0.9842455102000642,1.0
π₀ = 0.85 (stress),π₀,0.85,AdjacentNetwork,100.0,440,0.0,0.0,0.008655340103316136,0.0,0.0,0.008655340103316136,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698
π₀ = 0.85 (stress),π₀,0.85,SharedHardware,0.4,440,0.0022727272727272726,0.0004012945662938911,0.012760157627461716,0.6977272727272728,0.6532563847731154,0.7387753670951187,240,1.0,0.9842455102000642,1.0,240,0.9583333333333334,0.9250122267389824,0.9772128242777431,240,1.0,0.9842455102000642,1.0
α/1-β = 0.01/0.99,α / 1-β,0.01 / 0.99,AdjacentNetwork,100.0,440,0.0,0.0,0.008655340103316136,0.0,0.0,0.008655340103316136,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698
α/1-β = 0.01/0.99,α / 1-β,0.01 / 0.99,SharedHardware,0.4,440,0.0,0.0,0.008655340103316136,0.8,0.7600992861495562,0.8347075097884541,240,1.0,0.9842455102000642,1.0,240,0.6041666666666666,0.5411222476829078,0.6639289002754387,240,1.0,0.9842455102000642,1.0
α/1-β = 0.10/0.90,α / 1-β,0.10 / 0.90,AdjacentNetwork,100.0,440,0.0,0.0,0.008655340103316136,0.0,0.0,0.008655340103316136,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698
α/1-β = 0.10/0.90,α / 1-β,0.10 / 0.90,SharedHardware,0.4,440,0.004545454545454545,0.0012473877910091635,0.016420176493185917,0.575,0.5283555221846911,0.6203461767998114,240,1.0,0.9842455102000642,1.0,240,0.9666666666666667,0.9356144031625503,0.983014739690843,240,1.0,0.9842455102000642,1.0
kl_min = 0.3,kl_min,0.3,AdjacentNetwork,100.0,440,0.0,0.0,0.008655340103316136,0.0,0.0,0.008655340103316136,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698
kl_min = 0.3,kl_min,0.3,SharedHardware,0.4,440,0.0,0.0,0.008655340103316136,0.6863636363636364,0.6415554014868744,0.7279457899291625,240,1.0,0.9842455102000642,1.0,240,0.9125,0.8699439436313522,0.9420586022837009,240,1.0,0.9842455102000642,1.0
kl_min = 1.5,kl_min,1.5,AdjacentNetwork,100.0,440,0.0,0.0,0.008655340103316136,0.0,0.0,0.008655340103316136,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698,240,0.0,0.0,0.015754489799935698
