[setup] Using binary: /root/tacet/target/release/benchmark
[setup] Output root:  /root/bench-results/ablation-v2

==========================================
=== Config: baseline
=== Env:    <library defaults>
=== Output: /root/bench-results/ablation-v2/baseline
==========================================
=== Timing Tool Benchmark Suite ===

Configuration:
  Preset: medium
  Samples per class: 10000
  Datasets per point: 60
  Effect multipliers: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
  Effect patterns: ["shift", "tail"]
  Noise models: ["iid", "ar1-0.3", "ar1-0.6", "ar1-0.8"]
  Mode: synthetic
  Checkpoint: RESUME (loading existing results)
  Tools: ["tacet"]
  Total points: 48
  Total datasets: 2880
  Total tool runs: 2880
  Batched: 6 batches of 500 datasets (~160MB peak memory)


Completed in 257.7s

Raw results already written to: /root/bench-results/ablation-v2/baseline/benchmark_results.csv
Wrote summary to: /root/bench-results/ablation-v2/baseline/benchmark_summary.csv
Wrote report to: /root/bench-results/ablation-v2/baseline/benchmark_report.md

# Benchmark Results (medium)

## Configuration

- **Preset**: medium
- **Samples per class**: 10000
- **Datasets per point**: 60
- **Effect multipliers**: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
- **Total execution time**: 257.7s

## False Positive Rate (effect = 0)

| Tool | iid | ar1-0.3 | ar1-0.6 | ar1-0.8 |
|------|--------|--------|--------|--------|
| tacet (θ=0.4ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |
| tacet (θ=100ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |

## Power (Detection Rate)

| Tool | 0.2σ | 1σ | 2σ | 4σ | 20σ |
|------|------|------|------|------|------|
| tacet (θ=0.4ns) | 100% | 100% | 100% | 100% | 100% |
| tacet (θ=100ns) | 0% | 0% | 0% | 0% | 0% |

## Detailed Results by Tool

### tacet

| Pattern | Effect | Noise | Rate | 95% CI | Time (ms) |
|---------|--------|-------|------|--------|----------|
| shift | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1176 |
| shift | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1184 |
| shift | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1192 |
| shift | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1193 |
| shift | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1174 |
| shift | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1181 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1015 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1003 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1015 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1003 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1015 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1003 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1015 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1003 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1015 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1003 |
| shift | 0.2σ | ar1-0.3 | 68.3% | [55.8%, 78.7%] | 1214 |
| shift | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1187 |
| shift | 0.2σ | ar1-0.6 | 38.3% | [27.1%, 51.0%] | 1195 |
| shift | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1198 |
| shift | 0.2σ | ar1-0.8 | 13.3% | [6.9%, 24.2%] | 1217 |
| shift | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1219 |
| shift | 0.2σ | iid | 100.0% | [94.0%, 100.0%] | 1047 |
| shift | 0.2σ | iid | 0.0% | [0.0%, 6.0%] | 1039 |
