[setup] Using binary: /root/tacet/target/release/benchmark
[setup] Output root:  /root/bench-results/ablation-v3

==========================================
=== Config: baseline
=== Env:    <library defaults>
=== Output: /root/bench-results/ablation-v3/baseline
==========================================
=== Timing Tool Benchmark Suite ===

Configuration:
  Preset: medium
  Samples per class: 10000
  Datasets per point: 120
  Effect multipliers: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
  Effect patterns: ["shift", "tail"]
  Noise models: ["iid", "ar1-0.3", "ar1-0.6", "ar1-0.8"]
  Mode: synthetic
  Checkpoint: RESUME (loading existing results)
  Tools: ["tacet"]
  Total points: 48
  Total datasets: 5760
  Total tool runs: 5760
  Batched: 12 batches of 500 datasets (~160MB peak memory)

  Resuming: 5760 results loaded from checkpoint

Completed in 259.3s

Raw results already written to: /root/bench-results/ablation-v3/baseline/benchmark_results.csv
Wrote summary to: /root/bench-results/ablation-v3/baseline/benchmark_summary.csv
Wrote report to: /root/bench-results/ablation-v3/baseline/benchmark_report.md

# Benchmark Results (medium)

## Configuration

- **Preset**: medium
- **Samples per class**: 10000
- **Datasets per point**: 120
- **Effect multipliers**: [0.0, 0.2, 1.0, 2.0, 4.0, 20.0]
- **Total execution time**: 259.3s

## False Positive Rate (effect = 0)

| Tool | iid | ar1-0.3 | ar1-0.6 | ar1-0.8 |
|------|--------|--------|--------|--------|
| tacet (θ=0.4ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |
| tacet (θ=100ns) | 0.0% ± 1.8% | 0.0% ± 3.0% | 0.0% ± 3.0% | 0.0% ± 3.0% |

## Power (Detection Rate)

| Tool | 0.2σ | 1σ | 2σ | 4σ | 20σ |
|------|------|------|------|------|------|
| tacet (θ=0.4ns) | 100% | 100% | 100% | 100% | 100% |
| tacet (θ=100ns) | 0% | 0% | 0% | 0% | 2% |

## Detailed Results by Tool

### tacet

| Pattern | Effect | Noise | Rate | 95% CI | Time (ms) |
|---------|--------|-------|------|--------|----------|
| shift | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1197 |
| shift | 0σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1192 |
| shift | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1188 |
| shift | 0σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1190 |
| shift | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1202 |
| shift | 0σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1203 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1033 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1025 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1033 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1025 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1033 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1025 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1033 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1025 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1033 |
| shift | 0σ | iid | 0.0% | [0.0%, 3.7%] | 1025 |
| shift | 0.2σ | ar1-0.3 | 73.3% | [61.0%, 82.9%] | 1204 |
| shift | 0.2σ | ar1-0.3 | 0.0% | [0.0%, 6.0%] | 1211 |
| shift | 0.2σ | ar1-0.6 | 43.3% | [31.6%, 55.9%] | 1208 |
| shift | 0.2σ | ar1-0.6 | 0.0% | [0.0%, 6.0%] | 1204 |
| shift | 0.2σ | ar1-0.8 | 18.3% | [10.6%, 29.9%] | 1212 |
| shift | 0.2σ | ar1-0.8 | 0.0% | [0.0%, 6.0%] | 1200 |
| shift | 0.2σ | iid | 100.0% | [94.0%, 100.0%] | 1042 |
