nominal_ns,n_per_loop,repeats,mean_actual_ns,median_actual_ns,p10_actual_ns,p90_actual_ns
1,100000,11,19.109,19.052,19.020,19.330
2,100000,11,19.111,19.068,19.017,19.294
3,100000,11,19.012,19.002,18.963,19.050
5,100000,11,19.066,19.040,18.994,19.079
10,100000,11,20.090,20.045,20.022,20.262
20,100000,11,33.677,33.675,33.631,33.711
50,100000,11,63.019,62.835,62.811,63.649
100,100000,11,115.799,115.788,115.718,115.889
200,100000,11,211.140,211.122,211.098,211.185
500,100000,11,512.857,512.804,512.751,512.993
1000,100000,11,1011.949,1011.923,1011.780,1012.101
5000,100000,11,5025.977,5025.787,5025.648,5026.428
