ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
Rust,injected,injected::injected_shift_100ns,1,INCONCLUSIVE,71.6,6000,1,2026-04-22T19:29:09+00:00
Rust,injected,injected::injected_shift_100ns,2,INCONCLUSIVE,96.7,6000,0,2026-04-22T19:29:09+00:00
Rust,injected,injected::injected_shift_100ns,3,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:09+00:00
Rust,injected,injected::injected_shift_100ns,4,PASS,98.8,6000,0,2026-04-22T19:29:09+00:00
Rust,injected,injected::injected_shift_100ns,5,INCONCLUSIVE,98.5,6000,1,2026-04-22T19:29:10+00:00
Rust,injected,injected::injected_shift_100ns,6,INCONCLUSIVE,58.4,7000,0,2026-04-22T19:29:10+00:00
Rust,injected,injected::injected_shift_100ns,7,PASS,95.7,12000,0,2026-04-22T19:29:10+00:00
Rust,injected,injected::injected_shift_100ns,8,PASS,100.0,6000,1,2026-04-22T19:29:11+00:00
Rust,injected,injected::injected_shift_100ns,9,INCONCLUSIVE,56.1,9000,0,2026-04-22T19:29:11+00:00
Rust,injected,injected::injected_shift_100ns,10,INCONCLUSIVE,97.2,6000,0,2026-04-22T19:29:11+00:00
Rust,injected,injected::injected_shift_20ns,1,INCONCLUSIVE,0.0,6000,1,2026-04-22T19:29:12+00:00
Rust,injected,injected::injected_shift_20ns,2,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:12+00:00
Rust,injected,injected::injected_shift_20ns,3,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:12+00:00
Rust,injected,injected::injected_shift_20ns,4,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:12+00:00
Rust,injected,injected::injected_shift_20ns,5,FAIL,0.0,6000,1,2026-04-22T19:29:13+00:00
Rust,injected,injected::injected_shift_20ns,6,FAIL,0.0,6000,0,2026-04-22T19:29:13+00:00
Rust,injected,injected::injected_shift_20ns,7,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:13+00:00
Rust,injected,injected::injected_shift_20ns,8,INCONCLUSIVE,0.0,6000,1,2026-04-22T19:29:14+00:00
Rust,injected,injected::injected_shift_20ns,9,FAIL,0.0,6000,0,2026-04-22T19:29:14+00:00
Rust,injected,injected::injected_shift_20ns,10,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:14+00:00
Rust,injected,injected::injected_shift_2ns,1,INCONCLUSIVE,0.0,6000,1,2026-04-22T19:29:15+00:00
Rust,injected,injected::injected_shift_2ns,2,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:15+00:00
Rust,injected,injected::injected_shift_2ns,3,FAIL,0.0,6000,0,2026-04-22T19:29:15+00:00
Rust,injected,injected::injected_shift_2ns,4,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:15+00:00
Rust,injected,injected::injected_shift_2ns,5,FAIL,0.0,6000,1,2026-04-22T19:29:16+00:00
Rust,injected,injected::injected_shift_2ns,6,FAIL,0.0,6000,0,2026-04-22T19:29:16+00:00
Rust,injected,injected::injected_shift_2ns,7,FAIL,0.0,6000,0,2026-04-22T19:29:16+00:00
Rust,injected,injected::injected_shift_2ns,8,FAIL,0.0,6000,1,2026-04-22T19:29:17+00:00
Rust,injected,injected::injected_shift_2ns,9,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:17+00:00
Rust,injected,injected::injected_shift_2ns,10,FAIL,0.0,6000,0,2026-04-22T19:29:17+00:00
Rust,injected,injected::injected_shift_5000ns,1,PASS,100.0,6000,1,2026-04-22T19:29:18+00:00
Rust,injected,injected::injected_shift_5000ns,2,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:18+00:00
Rust,injected,injected::injected_shift_5000ns,3,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:18+00:00
Rust,injected,injected::injected_shift_5000ns,4,INCONCLUSIVE,100.0,6000,1,2026-04-22T19:29:19+00:00
Rust,injected,injected::injected_shift_5000ns,5,PASS,100.0,6000,0,2026-04-22T19:29:19+00:00
Rust,injected,injected::injected_shift_5000ns,6,PASS,100.0,6000,0,2026-04-22T19:29:19+00:00
Rust,injected,injected::injected_shift_5000ns,7,INCONCLUSIVE,100.0,6000,1,2026-04-22T19:29:20+00:00
Rust,injected,injected::injected_shift_5000ns,8,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:20+00:00
Rust,injected,injected::injected_shift_5000ns,9,PASS,100.0,6000,0,2026-04-22T19:29:20+00:00
Rust,injected,injected::injected_shift_5000ns,10,PASS,100.0,6000,1,2026-04-22T19:29:21+00:00
Rust,injected,injected::injected_shift_500ns,1,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:21+00:00
Rust,injected,injected::injected_shift_500ns,2,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:21+00:00
Rust,injected,injected::injected_shift_500ns,3,PASS,100.0,6000,0,2026-04-22T19:29:21+00:00
Rust,injected,injected::injected_shift_500ns,4,PASS,100.0,6000,1,2026-04-22T19:29:22+00:00
Rust,injected,injected::injected_shift_500ns,5,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:22+00:00
Rust,injected,injected::injected_shift_500ns,6,PASS,100.0,6000,0,2026-04-22T19:29:22+00:00
Rust,injected,injected::injected_shift_500ns,7,INCONCLUSIVE,100.0,6000,1,2026-04-22T19:29:23+00:00
Rust,injected,injected::injected_shift_500ns,8,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:23+00:00
Rust,injected,injected::injected_shift_500ns,9,PASS,100.0,6000,0,2026-04-22T19:29:23+00:00
Rust,injected,injected::injected_shift_500ns,10,PASS,100.0,6000,1,2026-04-22T19:29:24+00:00
Rust,injected,injected::injected_shift_50ns,1,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:24+00:00
Rust,injected,injected::injected_shift_50ns,2,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:24+00:00
Rust,injected,injected::injected_shift_50ns,3,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:24+00:00
Rust,injected,injected::injected_shift_50ns,4,FAIL,0.0,6000,1,2026-04-22T19:29:25+00:00
Rust,injected,injected::injected_shift_50ns,5,FAIL,0.0,6000,0,2026-04-22T19:29:25+00:00
Rust,injected,injected::injected_shift_50ns,6,FAIL,0.0,6000,0,2026-04-22T19:29:25+00:00
Rust,injected,injected::injected_shift_50ns,7,INCONCLUSIVE,0.0,6000,1,2026-04-22T19:29:26+00:00
Rust,injected,injected::injected_shift_50ns,8,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:26+00:00
Rust,injected,injected::injected_shift_50ns,9,INCONCLUSIVE,0.0,6000,0,2026-04-22T19:29:26+00:00
Rust,injected,injected::injected_shift_50ns,10,INCONCLUSIVE,0.0,6000,1,2026-04-22T19:29:27+00:00
Rust,injected,injected::injected_shift_5ns,1,PASS,0.0,6000,1,2026-04-22T19:29:28+00:00
Rust,injected,injected::injected_shift_5ns,2,PASS,0.0,6000,1,2026-04-22T19:29:29+00:00
Rust,injected,injected::injected_shift_5ns,3,PASS,0.0,6000,1,2026-04-22T19:29:30+00:00
Rust,injected,injected::injected_shift_5ns,4,PASS,0.0,6000,1,2026-04-22T19:29:31+00:00
Rust,injected,injected::injected_shift_5ns,5,PASS,0.0,6000,1,2026-04-22T19:29:32+00:00
Rust,injected,injected::injected_shift_5ns,6,PASS,0.0,6000,1,2026-04-22T19:29:33+00:00
Rust,injected,injected::injected_shift_5ns,7,PASS,0.0,6000,1,2026-04-22T19:29:34+00:00
Rust,injected,injected::injected_shift_5ns,8,PASS,0.0,6000,1,2026-04-22T19:29:35+00:00
Rust,injected,injected::injected_shift_5ns,9,PASS,0.0,6000,1,2026-04-22T19:29:36+00:00
Rust,injected,injected::injected_shift_5ns,10,PASS,0.0,6000,1,2026-04-22T19:29:37+00:00
Rust,injected,injected::injected_shift_5ns_k10,1,PASS,100.0,6000,0,2026-04-22T19:29:37+00:00
Rust,injected,injected::injected_shift_5ns_k10,2,PASS,100.0,6000,1,2026-04-22T19:29:38+00:00
Rust,injected,injected::injected_shift_5ns_k10,3,PASS,100.0,6000,1,2026-04-22T19:29:39+00:00
Rust,injected,injected::injected_shift_5ns_k10,4,PASS,100.0,6000,1,2026-04-22T19:29:40+00:00
Rust,injected,injected::injected_shift_5ns_k10,5,PASS,100.0,6000,1,2026-04-22T19:29:41+00:00
Rust,injected,injected::injected_shift_5ns_k10,6,PASS,100.0,6000,1,2026-04-22T19:29:42+00:00
Rust,injected,injected::injected_shift_5ns_k10,7,PASS,100.0,6000,0,2026-04-22T19:29:42+00:00
Rust,injected,injected::injected_shift_5ns_k10,8,PASS,100.0,6000,1,2026-04-22T19:29:43+00:00
Rust,injected,injected::injected_shift_5ns_k10,9,PASS,100.0,6000,1,2026-04-22T19:29:44+00:00
Rust,injected,injected::injected_shift_5ns_k10,10,PASS,100.0,6000,1,2026-04-22T19:29:45+00:00
Rust,injected,injected::injected_shift_5ns_k100,1,PASS,100.0,6000,0,2026-04-22T19:29:45+00:00
Rust,injected,injected::injected_shift_5ns_k100,2,PASS,100.0,6000,1,2026-04-22T19:29:46+00:00
Rust,injected,injected::injected_shift_5ns_k100,3,PASS,100.0,6000,1,2026-04-22T19:29:47+00:00
Rust,injected,injected::injected_shift_5ns_k100,4,PASS,100.0,6000,0,2026-04-22T19:29:47+00:00
Rust,injected,injected::injected_shift_5ns_k100,5,PASS,100.0,6000,1,2026-04-22T19:29:48+00:00
Rust,injected,injected::injected_shift_5ns_k100,6,PASS,100.0,6000,1,2026-04-22T19:29:49+00:00
Rust,injected,injected::injected_shift_5ns_k100,7,PASS,100.0,6000,0,2026-04-22T19:29:49+00:00
Rust,injected,injected::injected_shift_5ns_k100,8,PASS,100.0,6000,1,2026-04-22T19:29:50+00:00
Rust,injected,injected::injected_shift_5ns_k100,9,PASS,100.0,6000,1,2026-04-22T19:29:51+00:00
Rust,injected,injected::injected_shift_5ns_k100,10,PASS,100.0,6000,0,2026-04-22T19:29:51+00:00
Rust,injected,injected::injected_shift_5ns_k1000,1,PASS,100.0,6000,1,2026-04-22T19:29:52+00:00
Rust,injected,injected::injected_shift_5ns_k1000,2,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:52+00:00
Rust,injected,injected::injected_shift_5ns_k1000,3,PASS,100.0,6000,1,2026-04-22T19:29:53+00:00
Rust,injected,injected::injected_shift_5ns_k1000,4,PASS,100.0,6000,0,2026-04-22T19:29:53+00:00
Rust,injected,injected::injected_shift_5ns_k1000,5,INCONCLUSIVE,100.0,6000,0,2026-04-22T19:29:53+00:00
