ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
Rust,injected,injected::injected_shift_100ns,1,PASS,100.0,6000,0,2026-04-22T15:15:51-04:00
Rust,injected,injected::injected_shift_100ns,2,PASS,100.0,6000,0,2026-04-22T15:15:51-04:00
Rust,injected,injected::injected_shift_100ns,3,PASS,100.0,6000,0,2026-04-22T15:15:51-04:00
Rust,injected,injected::injected_shift_20ns,1,PASS,100.0,6000,1,2026-04-22T15:15:52-04:00
Rust,injected,injected::injected_shift_20ns,2,PASS,100.0,6000,0,2026-04-22T15:15:52-04:00
Rust,injected,injected::injected_shift_20ns,3,PASS,100.0,6000,0,2026-04-22T15:15:52-04:00
Rust,injected,injected::injected_shift_2ns,1,FAIL,0.0,6000,1,2026-04-22T15:15:53-04:00
Rust,injected,injected::injected_shift_2ns,2,FAIL,0.0,6000,0,2026-04-22T15:15:53-04:00
Rust,injected,injected::injected_shift_2ns,3,FAIL,0.0,6000,0,2026-04-22T15:15:53-04:00
Rust,injected,injected::injected_shift_5000ns,1,PASS,100.0,6000,1,2026-04-22T15:15:54-04:00
Rust,injected,injected::injected_shift_5000ns,2,PASS,100.0,6000,0,2026-04-22T15:15:54-04:00
Rust,injected,injected::injected_shift_5000ns,3,PASS,100.0,6000,0,2026-04-22T15:15:54-04:00
Rust,injected,injected::injected_shift_500ns,1,PASS,100.0,6000,1,2026-04-22T15:15:55-04:00
Rust,injected,injected::injected_shift_500ns,2,PASS,100.0,6000,0,2026-04-22T15:15:55-04:00
Rust,injected,injected::injected_shift_500ns,3,PASS,100.0,6000,0,2026-04-22T15:15:55-04:00
Rust,injected,injected::injected_shift_50ns,1,PASS,100.0,6000,0,2026-04-22T15:15:56-04:00
Rust,injected,injected::injected_shift_50ns,2,PASS,100.0,6000,0,2026-04-22T15:15:56-04:00
Rust,injected,injected::injected_shift_50ns,3,PASS,100.0,6000,0,2026-04-22T15:15:56-04:00
Rust,injected,injected::injected_shift_5ns,1,PASS,99.9,6000,1,2026-04-22T15:15:57-04:00
Rust,injected,injected::injected_shift_5ns,2,PASS,98.9,6000,2,2026-04-22T15:15:59-04:00
Rust,injected,injected::injected_shift_5ns,3,PASS,100.0,6000,1,2026-04-22T15:16:00-04:00
Rust,injected,injected::injected_shift_5ns_k10,1,PASS,100.0,6000,1,2026-04-22T15:16:01-04:00
Rust,injected,injected::injected_shift_5ns_k10,2,PASS,100.0,6000,1,2026-04-22T15:16:02-04:00
Rust,injected,injected::injected_shift_5ns_k10,3,PASS,100.0,6000,0,2026-04-22T15:16:02-04:00
Rust,injected,injected::injected_shift_5ns_k100,1,PASS,100.0,6000,1,2026-04-22T15:16:03-04:00
Rust,injected,injected::injected_shift_5ns_k100,2,PASS,100.0,6000,0,2026-04-22T15:16:03-04:00
Rust,injected,injected::injected_shift_5ns_k100,3,PASS,100.0,6000,1,2026-04-22T15:16:05-04:00
Rust,injected,injected::injected_shift_5ns_k1000,1,PASS,100.0,6000,0,2026-04-22T15:16:05-04:00
Rust,injected,injected::injected_shift_5ns_k1000,2,PASS,100.0,6000,0,2026-04-22T15:16:05-04:00
Rust,injected,injected::injected_shift_5ns_k1000,3,PASS,100.0,6000,1,2026-04-22T15:16:06-04:00
