ecosystem,library,primitive,test_id,expected,attacker_model,iteration,seed,samples_per_class,timer_resolution_ns,timer_name,dither_ns,tool,outcome,detected_leak,leak_probability,samples_used,decision_time_ms,status,collection_time_ms,timestamp
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,50000,0.223,rdtsc,0.000,tacet,pass,false,0.000000,50000,1408,Pass (P=0.0%),110,1776890836
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,50000,0.223,rdtsc,0.000,dudect,fail,true,,99881,26,"max|t|=35.47, tau=-0.1122, threshold=4.5",110,1776890836
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,50000,0.223,rdtsc,0.000,tvla,fail,true,,100000,0,"|t|=15.15, threshold=4.5",110,1776890836
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,50000,0.223,rdtsc,0.000,silent,error,false,,0,1702,"Error: SILENT failed: Error in quantile.default(max_boot, 1 - alpha) : 
  missing values and NaN's not allowed if 'na.rm' is FALSE
Calls: algorithm -> max_test -> quantile -> quantile.default
Execution halted
",110,1776890841
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,50000,0.223,rdtsc,0.000,rtlf,fail,true,1.000000,100000,75054,"p=0.0000, alpha=0.09 (pool)",110,1776890916
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,50000,0.223,rdtsc,0.000,tlsfuzzer,fail,true,1.000000,100000,1047,"wilcoxon_test(p=0.0000), alpha=0.05 (pool)",110,1776890917
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,50000,0.223,rdtsc,0.000,tacet,pass,false,0.000000,50000,1429,Pass (P=0.0%),110,1776890918
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,50000,0.223,rdtsc,0.000,dudect,fail,true,,99605,36,"max|t|=26.62, tau=-0.0844, threshold=4.5",110,1776890918
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,50000,0.223,rdtsc,0.000,tvla,fail,true,,100000,0,"|t|=15.37, threshold=4.5",110,1776890918
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,50000,0.223,rdtsc,0.000,silent,error,false,,0,1746,"Error: SILENT failed: Error in quantile.default(max_boot, 1 - alpha) : 
  missing values and NaN's not allowed if 'na.rm' is FALSE
Calls: algorithm -> max_test -> quantile -> quantile.default
Execution halted
",110,1776890922
