ecosystem,library,primitive,test_id,expected,attacker_model,iteration,seed,samples_per_class,timer_resolution_ns,timer_name,dither_ns,tool,outcome,detected_leak,leak_probability,samples_used,decision_time_ms,status,collection_time_ms,timestamp
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,1,9876562591584109655,50000,0.223,rdtsc,0.000,tacet,pass,false,0.000000,50000,2420,Pass (P=0.0%),18833,1776897451
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,1,9876562591584109655,50000,0.223,rdtsc,0.000,dudect,fail,true,,79675,47,"max|t|=6.14, tau=0.0218, threshold=4.5",18833,1776897451
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,1,9876562591584109655,50000,0.223,rdtsc,0.000,tvla,pass,false,,100000,0,"|t|=1.10, threshold=4.5",18833,1776897451
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,1,9876562591584109655,50000,0.223,rdtsc,0.000,silent,fail,true,,100000,3518,"stat=8.025, alpha=0.10, delta=1.0 (pool)",18833,1776897455
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,1,9876562591584109655,50000,0.223,rdtsc,0.000,rtlf,fail,true,1.000000,100000,123556,"p=0.0000, alpha=0.09 (pool)",18833,1776897578
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,1,9876562591584109655,50000,0.223,rdtsc,0.000,tlsfuzzer,fail,true,0.999999,100000,1092,"sign_test(p=0.0000), alpha=0.05 (pool)",18833,1776897579
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,2,16181177017490280269,50000,0.223,rdtsc,0.000,tacet,pass,false,0.000000,50000,2482,Pass (P=0.0%),19065,1776897601
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,2,16181177017490280269,50000,0.223,rdtsc,0.000,dudect,pass,false,,18683,49,"max|t|=3.51, tau=-0.0257, threshold=4.5",19065,1776897601
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,2,16181177017490280269,50000,0.223,rdtsc,0.000,tvla,pass,false,,100000,0,"|t|=0.75, threshold=4.5",19065,1776897601
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,2,16181177017490280269,50000,0.223,rdtsc,0.000,silent,pass,false,,100000,2337,"stat=2.515, alpha=0.10, delta=1.0 (pool)",19065,1776897603
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,2,16181177017490280269,50000,0.223,rdtsc,0.000,rtlf,pass,false,0.000000,100000,122316,"p=1.0000, alpha=0.09 (pool)",19065,1776897726
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,2,16181177017490280269,50000,0.223,rdtsc,0.000,tlsfuzzer,fail,true,0.960350,100000,346,"sign_test(p=0.0397), alpha=0.05 (pool)",19065,1776897726
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,3,10345527531909316375,50000,0.223,rdtsc,0.000,tacet,inconclusive,false,0.196500,50000,2526,"Inconclusive: SampleBudgetExceeded { current_probability: 0.1965, samples_collected: 50000 }",18592,1776897747
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,3,10345527531909316375,50000,0.223,rdtsc,0.000,dudect,fail,true,,74927,48,"max|t|=8.14, tau=0.0297, threshold=4.5",18592,1776897747
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,3,10345527531909316375,50000,0.223,rdtsc,0.000,tvla,pass,false,,100000,0,"|t|=0.51, threshold=4.5",18592,1776897747
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,3,10345527531909316375,50000,0.223,rdtsc,0.000,silent,fail,true,,100000,2223,"stat=5.290, alpha=0.10, delta=1.0 (pool)",18592,1776897749
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,3,10345527531909316375,50000,0.223,rdtsc,0.000,rtlf,fail,true,1.000000,100000,124097,"p=0.0000, alpha=0.09 (pool)",18592,1776897873
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,3,10345527531909316375,50000,0.223,rdtsc,0.000,tlsfuzzer,fail,true,1.000000,100000,352,"sign_test(p=0.0000), alpha=0.05 (pool)",18592,1776897874
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,4,5235722407536906526,50000,0.223,rdtsc,0.000,tacet,pass,false,0.000000,50000,2445,Pass (P=0.0%),18285,1776897895
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,4,5235722407536906526,50000,0.223,rdtsc,0.000,dudect,pass,false,,73137,47,"max|t|=2.40, tau=-0.0089, threshold=4.5",18285,1776897895
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,4,5235722407536906526,50000,0.223,rdtsc,0.000,tvla,pass,false,,100000,0,"|t|=1.08, threshold=4.5",18285,1776897895
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,4,5235722407536906526,50000,0.223,rdtsc,0.000,silent,pass,false,,100000,2169,"stat=3.494, alpha=0.10, delta=1.0 (pool)",18285,1776897897
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,4,5235722407536906526,50000,0.223,rdtsc,0.000,rtlf,pass,false,0.000000,100000,121809,"p=1.0000, alpha=0.09 (pool)",18285,1776898019
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,4,5235722407536906526,50000,0.223,rdtsc,0.000,tlsfuzzer,pass,false,0.322368,100000,345,"wilcoxon_test(p=0.6776), alpha=0.05 (pool)",18285,1776898019
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,5,11103911911378150211,50000,0.223,rdtsc,0.000,tacet,pass,false,0.000750,50000,2559,Pass (P=0.1%),18404,1776898040
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,5,11103911911378150211,50000,0.223,rdtsc,0.000,dudect,pass,false,,6640,47,"max|t|=1.96, tau=0.0241, threshold=4.5",18404,1776898040
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,5,11103911911378150211,50000,0.223,rdtsc,0.000,tvla,pass,false,,100000,0,"|t|=0.60, threshold=4.5",18404,1776898040
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,5,11103911911378150211,50000,0.223,rdtsc,0.000,silent,pass,false,,100000,2142,"stat=1.996, alpha=0.10, delta=1.0 (pool)",18404,1776898042
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,5,11103911911378150211,50000,0.223,rdtsc,0.000,rtlf,pass,false,0.000000,100000,124659,"p=1.0000, alpha=0.09 (pool)",18404,1776898167
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,5,11103911911378150211,50000,0.223,rdtsc,0.000,tlsfuzzer,pass,false,0.336126,100000,353,"sign_test(p=0.6639), alpha=0.05 (pool)",18404,1776898167
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,6,10080952379486741611,50000,0.223,rdtsc,0.000,tacet,pass,false,0.000500,50000,2634,Pass (P=0.1%),19076,1776898189
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,6,10080952379486741611,50000,0.223,rdtsc,0.000,dudect,fail,true,,74987,48,"max|t|=11.36, tau=-0.0415, threshold=4.5",19076,1776898189
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,6,10080952379486741611,50000,0.223,rdtsc,0.000,tvla,pass,false,,100000,0,"|t|=3.82, threshold=4.5",19076,1776898189
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,6,10080952379486741611,50000,0.223,rdtsc,0.000,silent,fail,true,,100000,2178,"stat=13.610, alpha=0.10, delta=1.0 (pool)",19076,1776898191
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,6,10080952379486741611,50000,0.223,rdtsc,0.000,rtlf,fail,true,1.000000,100000,127171,"p=0.0000, alpha=0.09 (pool)",19076,1776898318
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,6,10080952379486741611,50000,0.223,rdtsc,0.000,tlsfuzzer,fail,true,1.000000,100000,346,"sign_test(p=0.0000), alpha=0.05 (pool)",19076,1776898319
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,7,7147528179339094999,50000,0.223,rdtsc,0.000,tacet,pass,false,0.029000,50000,2672,Pass (P=2.9%),19023,1776898340
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,7,7147528179339094999,50000,0.223,rdtsc,0.000,dudect,fail,true,,74959,49,"max|t|=4.94, tau=-0.0180, threshold=4.5",19023,1776898340
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,7,7147528179339094999,50000,0.223,rdtsc,0.000,tvla,pass,false,,100000,0,"|t|=1.60, threshold=4.5",19023,1776898340
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,7,7147528179339094999,50000,0.223,rdtsc,0.000,silent,fail,true,,100000,2448,"stat=8.389, alpha=0.10, delta=1.0 (pool)",19023,1776898343
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,7,7147528179339094999,50000,0.223,rdtsc,0.000,rtlf,fail,true,1.000000,100000,127815,"p=0.0000, alpha=0.09 (pool)",19023,1776898471
Rust,RustCrypto,RSA-1024-PKCS1v15,rustcrypto::rsa::marvin_rsa1024_pkcs1v15_decrypt,leaky,AdjacentNetwork,7,7147528179339094999,50000,0.223,rdtsc,0.000,tlsfuzzer,fail,true,0.997140,100000,354,"sign_test(p=0.0029), alpha=0.05 (pool)",19023,1776898471
