ecosystem,library,primitive,test_id,expected,attacker_model,iteration,seed,samples_per_class,timer_resolution_ns,timer_name,dither_ns,tool,outcome,detected_leak,leak_probability,samples_used,decision_time_ms,status,collection_time_ms,timestamp
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,0.000,tacet,pass,false,0.000000,10000,200,Pass (P=0.0%),106,1776882766
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,0.000,dudect,fail,true,,19851,4,"max|t|=14.80, tau=-0.1050, threshold=4.5",106,1776882766
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,0.000,tvla,fail,true,,20000,0,"|t|=12.65, threshold=4.5",106,1776882766
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,0.000,silent,fail,true,,20000,1363,"stat=3033.672, alpha=0.10, delta=1",106,1776882769
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,0.000,rtlf,fail,true,1.000000,20000,17106,"p=0.0000, alpha=0.09 (pool)",106,1776882786
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,5.000,tacet,pass,false,0.000000,10000,243,Pass (P=0.0%),106,1776882787
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,5.000,dudect,fail,true,,19968,8,"max|t|=15.72, tau=-0.1113, threshold=4.5",106,1776882787
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,5.000,tvla,fail,true,,20000,0,"|t|=12.13, threshold=4.5",106,1776882787
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,5.000,silent,fail,true,,20000,800,"stat=20.283, alpha=0.10, delta=1.0 (pool)",106,1776882787
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,6154005188474195364,10000,0.223,rdtsc,5.000,rtlf,fail,true,1.000000,20000,20789,"p=0.0000, alpha=0.09 (pool)",106,1776882808
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,0.000,tacet,pass,false,0.000000,10000,194,Pass (P=0.0%),106,1776882808
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,0.000,dudect,fail,true,,20000,4,"max|t|=15.97, tau=-0.1129, threshold=4.5",106,1776882808
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,0.000,tvla,fail,true,,20000,0,"|t|=15.97, threshold=4.5",106,1776882808
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,0.000,silent,error,false,,0,1261,"Error: SILENT failed: Error in quantile.default(max_boot, 1 - alpha) : 
  missing values and NaN's not allowed if 'na.rm' is FALSE
Calls: algorithm -> max_test -> quantile -> quantile.default
Execution halted
",106,1776882810
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,0.000,rtlf,fail,true,1.000000,20000,17031,"p=0.0000, alpha=0.09 (pool)",106,1776882827
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,5.000,tacet,pass,false,0.000000,10000,244,Pass (P=0.0%),106,1776882828
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,5.000,dudect,fail,true,,20000,8,"max|t|=15.03, tau=-0.1063, threshold=4.5",106,1776882828
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,5.000,tvla,fail,true,,20000,0,"|t|=15.03, threshold=4.5",106,1776882828
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,4911217489519324707,10000,0.223,rdtsc,5.000,silent,fail,true,,20000,778,"stat=21.823, alpha=0.10, delta=1.0 (pool)",106,1776882829
