ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
Rust,injected,injected::injected_shift_100ns,1,FAIL,0.6,6000,0,2026-04-22T20:54:37+00:00
Rust,injected,injected::injected_shift_100ns,2,INCONCLUSIVE,0.0,6000,0,2026-04-22T20:54:37+00:00
Rust,injected,injected::injected_shift_100ns,3,INCONCLUSIVE,71.9,7000,0,2026-04-22T20:54:37+00:00
Rust,injected,injected::injected_shift_100ns,4,PASS,96.8,6000,1,2026-04-22T20:54:38+00:00
Rust,injected,injected::injected_shift_100ns,5,INCONCLUSIVE,100.0,6000,0,2026-04-22T20:54:38+00:00
Rust,injected,injected::injected_shift_100ns,6,PASS,98.7,6000,0,2026-04-22T20:54:38+00:00
Rust,injected,injected::injected_shift_100ns,7,PASS,99.5,6000,1,2026-04-22T20:54:39+00:00
Rust,injected,injected::injected_shift_100ns,8,PASS,99.6,6000,0,2026-04-22T20:54:39+00:00
Rust,injected,injected::injected_shift_100ns,9,PASS,100.0,6000,0,2026-04-22T20:54:39+00:00
Rust,injected,injected::injected_shift_100ns,10,INCONCLUSIVE,100.0,6000,1,2026-04-22T20:54:40+00:00
Rust,injected,injected::injected_shift_100ns,11,PASS,95.9,7000,0,2026-04-22T20:54:40+00:00
Rust,injected,injected::injected_shift_100ns,12,INCONCLUSIVE,9.8,11000,0,2026-04-22T20:54:40+00:00
Rust,injected,injected::injected_shift_100ns,13,FAIL,1.4,6000,1,2026-04-22T20:54:41+00:00
Rust,injected,injected::injected_shift_100ns,14,INCONCLUSIVE,100.0,6000,0,2026-04-22T20:54:41+00:00
Rust,injected,injected::injected_shift_100ns,15,PASS,99.2,6000,0,2026-04-22T20:54:41+00:00
Rust,injected,injected::injected_shift_100ns,16,PASS,100.0,6000,0,2026-04-22T20:54:41+00:00
Rust,injected,injected::injected_shift_100ns,17,INCONCLUSIVE,31.9,11000,1,2026-04-22T20:54:42+00:00
Rust,injected,injected::injected_shift_100ns,18,FAIL,4.0,9000,0,2026-04-22T20:54:42+00:00
Rust,injected,injected::injected_shift_100ns,19,INCONCLUSIVE,46.0,6000,0,2026-04-22T20:54:42+00:00
Rust,injected,injected::injected_shift_100ns,20,PASS,97.5,6000,1,2026-04-22T20:54:43+00:00
Rust,injected,injected::injected_shift_100ns,21,FAIL,0.4,6000,0,2026-04-22T20:54:43+00:00
Rust,injected,injected::injected_shift_100ns,22,FAIL,4.5,6000,0,2026-04-22T20:54:43+00:00
Rust,injected,injected::injected_shift_100ns,23,FAIL,2.7,6000,1,2026-04-22T20:54:44+00:00
Rust,injected,injected::injected_shift_100ns,24,FAIL,0.7,6000,0,2026-04-22T20:54:44+00:00
Rust,injected,injected::injected_shift_100ns,25,INCONCLUSIVE,0.5,6000,0,2026-04-22T20:54:44+00:00
Rust,injected,injected::injected_shift_100ns,26,INCONCLUSIVE,14.5,13000,1,2026-04-22T20:54:45+00:00
Rust,injected,injected::injected_shift_100ns,27,INCONCLUSIVE,28.7,11000,0,2026-04-22T20:54:45+00:00
Rust,injected,injected::injected_shift_100ns,28,FAIL,0.1,6000,0,2026-04-22T20:54:45+00:00
Rust,injected,injected::injected_shift_100ns,29,INCONCLUSIVE,1.2,6000,1,2026-04-22T20:54:46+00:00
Rust,injected,injected::injected_shift_100ns,30,INCONCLUSIVE,3.3,6000,0,2026-04-22T20:54:46+00:00
Rust,injected,injected::injected_shift_20ns,1,INCONCLUSIVE,0.0,6000,0,2026-04-22T20:54:46+00:00
Rust,injected,injected::injected_shift_20ns,2,FAIL,0.0,6000,0,2026-04-22T20:54:46+00:00
Rust,injected,injected::injected_shift_20ns,3,INCONCLUSIVE,0.0,6000,1,2026-04-22T20:54:47+00:00
Rust,injected,injected::injected_shift_20ns,4,INCONCLUSIVE,0.0,6000,0,2026-04-22T20:54:47+00:00
