timestamp,budget_label,iteration,seed,samples_requested,samples_used,timer_name,timer_resolution_ns,collection_ms,analysis_ms,verdict,leak_probability,effect_ns,ci_lo_ns,ci_hi_ns,dependence_length,effective_sample_size,stationarity_ratio,calibration_samples,attacker_model,threshold_ns
1776891805,0.5x,1,454157365044043553,31000,31000,rdtsc,0.3846,10862,1548,pass,0.047000,74.971,44.184,105.874,353,87,1.0000,31000,AdjacentNetwork,100.000
1776891805,0.5x,3,773878486927697347,31000,31000,rdtsc,0.3847,10983,1475,pass,0.007500,55.321,22.141,88.865,677,45,1.0000,31000,AdjacentNetwork,100.000
1776891805,0.5x,4,814674369209280737,31000,31000,rdtsc,0.3846,10886,1646,pass,0.028000,69.502,38.191,101.058,488,63,1.0000,31000,AdjacentNetwork,100.000
1776891805,0.5x,2,216685257801952854,31000,31000,rdtsc,0.3847,10996,1596,fail,1.000000,287.191,245.941,326.511,713,43,1.0000,31000,AdjacentNetwork,100.000
1776891817,0.5x,6,121367615474424612,31000,31000,rdtsc,0.3847,10984,1478,fail,1.000000,210.826,185.894,235.185,24,1291,1.0000,31000,AdjacentNetwork,100.000
1776891817,0.5x,5,165042007498948690,31000,31000,rdtsc,0.3847,10931,1582,pass,0.013000,53.534,16.539,92.001,53,584,1.0000,31000,AdjacentNetwork,100.000
1776891828,0.5x,8,988554553297614406,31000,31000,rdtsc,0.3846,21682,1650,inconclusive,0.000000,202.545,7.222,687.104,134,231,1.0000,31000,AdjacentNetwork,100.000
1776891829,0.5x,7,460518207579785790,31000,31000,rdtsc,0.3846,21628,1823,inconclusive,0.000000,201.428,7.175,678.637,188,164,1.0000,31000,AdjacentNetwork,100.000
1776891830,0.5x,10,965208907235397192,31000,31000,rdtsc,0.3846,10930,1692,inconclusive,0.123500,81.681,46.443,116.685,746,41,1.0000,31000,AdjacentNetwork,100.000
1776891830,0.5x,9,118621882693470396,31000,31000,rdtsc,0.3847,10951,1779,fail,1.000000,300.346,259.404,339.385,746,41,1.0000,31000,AdjacentNetwork,100.000
1776891841,0.5x,11,319473307019362143,31000,31000,rdtsc,0.3847,10859,1427,pass,0.000000,43.771,28.360,59.726,50,620,1.0000,31000,AdjacentNetwork,100.000
1776891841,0.5x,12,31016005421696993,31000,31000,rdtsc,0.3847,10976,1544,inconclusive,0.072250,78.591,47.612,109.591,29,1068,1.0000,31000,AdjacentNetwork,100.000
1776891842,0.5x,13,640935699477359073,31000,31000,rdtsc,0.3847,10812,1439,pass,0.002750,59.439,35.973,83.559,746,41,1.0000,31000,AdjacentNetwork,100.000
1776891843,0.5x,14,405838520061753959,31000,31000,rdtsc,0.3846,10879,1425,fail,1.000000,270.837,246.445,294.645,26,1192,1.0000,31000,AdjacentNetwork,100.000
1776891853,0.5x,15,427467199768964391,31000,31000,rdtsc,0.3846,10948,1644,inconclusive,0.756500,115.957,64.455,166.604,746,41,1.0000,31000,AdjacentNetwork,100.000
1776891853,0.5x,16,201925757133014538,31000,31000,rdtsc,0.3847,10869,1485,fail,0.999250,200.489,156.815,242.248,746,41,1.0000,31000,AdjacentNetwork,100.000
1776891855,0.5x,17,284235181314006109,31000,31000,rdtsc,0.3847,10866,1520,fail,0.964250,140.770,95.648,184.807,447,69,1.0000,31000,AdjacentNetwork,100.000
1776891855,0.5x,18,661564177561295850,31000,31000,rdtsc,0.3847,10904,1522,pass,0.032250,66.178,30.066,102.543,746,41,1.0000,31000,AdjacentNetwork,100.000
1776891866,0.5x,20,155666971955715399,31000,31000,rdtsc,0.3847,10853,1431,fail,1.000000,196.655,172.672,220.105,746,41,1.0000,31000,AdjacentNetwork,100.000
1776891866,0.5x,19,1000008575689726397,31000,31000,rdtsc,0.3846,10899,1571,fail,1.000000,364.368,316.913,409.301,330,93,1.0000,31000,AdjacentNetwork,100.000
1776891879,1.0x,2,116836278453208065,62000,62000,rdtsc,0.3847,21560,2776,inconclusive,0.861000,107.754,92.383,123.467,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891879,1.0x,1,226761454414591206,62000,62000,rdtsc,0.3846,21744,2813,fail,1.000000,403.334,374.281,431.485,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891891,1.0x,3,1143817164877855208,62000,62000,rdtsc,0.3847,21837,3326,fail,0.993000,139.826,111.659,167.364,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891891,1.0x,4,386847859682246528,62000,62000,rdtsc,0.3847,21848,3259,fail,0.999000,145.217,125.045,165.344,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891904,1.0x,6,499853501911995561,62000,62000,rdtsc,0.3847,21602,2906,inconclusive,0.820250,107.685,89.132,126.505,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891904,1.0x,5,104504238624335068,62000,62000,rdtsc,0.3846,21828,3074,inconclusive,0.023500,203.506,8.658,626.457,15,4133,1.0000,62000,AdjacentNetwork,100.000
1776891916,1.0x,8,1104608299760911115,62000,62000,rdtsc,0.3847,21859,3077,fail,1.000000,274.559,240.607,307.436,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891916,1.0x,7,270224109715145748,62000,62000,rdtsc,0.3846,21928,3253,fail,1.000000,258.678,222.493,293.704,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891928,1.0x,9,614736911631423137,62000,62000,rdtsc,0.3847,21614,2856,inconclusive,0.615750,108.727,43.249,173.606,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891929,1.0x,10,538592787276188100,62000,62000,rdtsc,0.3846,21863,3077,pass,0.026500,52.739,9.919,100.986,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891941,1.0x,11,896951699487463541,62000,62000,rdtsc,0.3847,21762,2960,inconclusive,0.073500,79.600,49.957,109.332,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891941,1.0x,12,590895414948380144,62000,62000,rdtsc,0.3846,21798,2998,inconclusive,0.276000,89.825,52.909,126.427,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891953,1.0x,13,929698470225057019,62000,62000,rdtsc,0.3847,21815,2976,fail,0.982750,131.597,103.583,159.017,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891954,1.0x,14,971089227243978342,62000,62000,rdtsc,0.3847,21817,3095,fail,1.000000,337.104,292.399,379.263,1056,58,1.0000,62000,AdjacentNetwork,100.000
1776891965,1.0x,15,459291110738529653,62000,62000,rdtsc,0.3847,21576,2925,fail,1.000000,190.945,163.443,217.819,1056,58,1.0000,62000,AdjacentNetwork,100.000
