timestamp,budget_label,iteration,seed,samples_requested,samples_used,timer_name,timer_resolution_ns,collection_ms,analysis_ms,verdict,leak_probability,effect_ns,ci_lo_ns,ci_hi_ns,dependence_length,effective_sample_size,stationarity_ratio,calibration_samples,attacker_model,threshold_ns,pool_size
1776897734,1.0x,1,1078796318545967650,62000,62000,rdtsc,0.2226,23481,2811,inconclusive,0.391000,97.288,77.710,117.171,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897735,1.0x,4,711936575469861325,62000,62000,rdtsc,0.2226,24178,3762,pass,0.021000,47.138,6.372,96.392,182,340,1.0000,62000,AdjacentNetwork,100.000,1
1776897735,1.0x,3,995088891325652053,62000,62000,rdtsc,0.2226,24220,3796,fail,1.000000,334.166,306.965,360.528,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897735,1.0x,2,78014102245978821,62000,62000,rdtsc,0.2226,24205,3843,inconclusive,0.078250,77.719,44.699,110.643,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897760,1.0x,5,104406682862267988,62000,62000,rdtsc,0.2226,23624,2831,fail,0.998250,181.699,140.453,221.637,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897762,1.0x,6,217424124624939276,62000,62000,rdtsc,0.2226,23825,2762,inconclusive,0.290750,345.343,69.376,616.016,18,3444,1.0000,62000,AdjacentNetwork,100.000,1
1776897763,1.0x,7,499430324540461199,62000,62000,rdtsc,0.2226,24596,3135,fail,1.000000,772.211,715.720,825.433,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897763,1.0x,8,449361607908318591,62000,62000,rdtsc,0.2227,24805,3209,fail,1.000000,302.914,268.911,335.832,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897787,1.0x,9,1046383544042722979,62000,62000,rdtsc,0.2227,24433,2863,fail,1.000000,197.580,165.783,228.534,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897789,1.0x,10,1143514255585681004,62000,62000,rdtsc,0.2226,23676,3198,inconclusive,0.299750,88.848,42.665,134.644,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897790,1.0x,12,652169800310159104,62000,62000,rdtsc,0.2227,23754,3023,fail,1.000000,264.814,229.004,299.478,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897790,1.0x,11,1105831837669049927,62000,62000,rdtsc,0.2226,24349,2808,inconclusive,0.768500,447.037,65.439,846.243,15,4133,1.0000,62000,AdjacentNetwork,100.000,1
1776897814,1.0x,13,1123070737775148130,62000,62000,rdtsc,0.2227,23650,2898,fail,1.000000,568.390,522.335,611.822,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897817,1.0x,14,604754052538623909,62000,62000,rdtsc,0.2227,24363,3596,pass,0.020750,60.864,24.829,97.229,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897818,1.0x,15,308181273724949211,62000,62000,rdtsc,0.2226,24420,3390,inconclusive,0.845000,280.919,41.728,549.457,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897818,1.0x,16,725942297882578521,62000,62000,rdtsc,0.2227,24287,3470,inconclusive,0.272500,89.317,51.350,126.919,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897841,1.0x,17,406391209684130042,62000,62000,rdtsc,0.2227,23821,3068,fail,1.000000,418.559,372.747,461.724,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897844,1.0x,18,136063200680072725,62000,62000,rdtsc,0.2227,24276,3013,fail,1.000000,257.483,224.685,289.254,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897845,1.0x,20,1074257095293584106,62000,62000,rdtsc,0.2226,23838,2651,inconclusive,0.724750,105.288,85.418,125.394,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897845,1.0x,19,962267307743617229,62000,62000,rdtsc,0.2227,24252,3032,fail,0.993750,166.162,120.648,210.105,1056,58,1.0000,62000,AdjacentNetwork,100.000,1
1776897869,1.0x,1,176896037440867219,62000,62000,rdtsc,0.2226,24758,2959,inconclusive,0.439000,188.465,12.250,463.053,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897870,1.0x,2,961926210246167028,62000,62000,rdtsc,0.2226,23523,2894,fail,0.998250,189.502,144.709,232.334,963,64,1.0000,62000,AdjacentNetwork,100.000,10
1776897872,1.0x,4,999392400752091492,62000,62000,rdtsc,0.2227,23542,2839,inconclusive,0.576250,121.834,9.134,284.030,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897872,1.0x,3,454972776906859739,62000,62000,rdtsc,0.2226,24518,2796,fail,1.000000,281.952,250.952,311.987,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897895,1.0x,5,434049359236725308,62000,62000,rdtsc,0.2226,23675,2983,fail,1.000000,472.987,445.040,500.029,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897898,1.0x,6,229595927149828298,62000,62000,rdtsc,0.2226,23946,3119,inconclusive,0.609500,189.634,10.649,492.938,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897898,1.0x,7,772876258816372760,62000,62000,rdtsc,0.2226,23858,2807,fail,1.000000,578.734,442.151,694.384,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897899,1.0x,8,519927428347566113,62000,62000,rdtsc,0.2227,24331,3004,inconclusive,0.380750,91.723,37.355,145.849,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897922,1.0x,9,36288486214591646,62000,62000,rdtsc,0.2226,23979,3052,fail,0.978500,486.064,143.766,769.056,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897924,1.0x,10,370651428744761926,62000,62000,rdtsc,0.2227,23859,3070,inconclusive,0.920750,291.982,62.123,518.777,879,70,1.0000,62000,AdjacentNetwork,100.000,10
1776897926,1.0x,11,1115181727906357009,62000,62000,rdtsc,0.2226,24420,2933,inconclusive,0.182000,83.097,42.070,124.239,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897926,1.0x,12,477545167163624712,62000,62000,rdtsc,0.2227,24271,2886,inconclusive,0.380250,175.122,7.972,502.223,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897949,1.0x,13,500354015894497112,62000,62000,rdtsc,0.2227,23497,2823,inconclusive,0.502250,293.051,26.616,656.074,65,953,1.0000,62000,AdjacentNetwork,100.000,10
1776897953,1.0x,14,780087849091055205,62000,62000,rdtsc,0.2226,24699,3765,fail,0.997500,182.770,137.567,226.068,311,199,1.0000,62000,AdjacentNetwork,100.000,10
1776897953,1.0x,15,8765121486464919,62000,62000,rdtsc,0.2227,24559,2980,inconclusive,0.455250,135.885,20.139,270.650,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897954,1.0x,16,220694530848822395,62000,62000,rdtsc,0.2227,24588,2976,inconclusive,0.019500,202.023,9.892,579.861,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897976,1.0x,17,117027092509192947,62000,62000,rdtsc,0.2226,24677,3054,inconclusive,0.524000,158.498,10.747,382.878,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776897980,1.0x,18,544409675584396124,62000,62000,rdtsc,0.2226,23700,2886,inconclusive,0.905000,132.144,81.098,181.882,257,241,1.0000,62000,AdjacentNetwork,100.000,10
1776897981,1.0x,19,829639986296504335,62000,62000,rdtsc,0.2226,24476,3053,inconclusive,0.658750,507.820,66.060,978.600,15,4133,1.0000,62000,AdjacentNetwork,100.000,10
1776897982,1.0x,20,846752189815114509,62000,62000,rdtsc,0.2226,24721,2992,inconclusive,0.328000,154.740,14.547,339.230,1056,58,1.0000,62000,AdjacentNetwork,100.000,10
1776898003,1.0x,1,469478278150961870,62000,62000,rdtsc,0.2227,23727,2849,inconclusive,0.639000,168.412,17.465,361.808,1056,58,1.0000,62000,AdjacentNetwork,100.000,100
