ecosystem,library,primitive,test_id,expected,attacker_model,iteration,seed,samples_per_class,timer_resolution_ns,timer_name,dither_ns,tool,outcome,detected_leak,leak_probability,samples_used,decision_time_ms,status,collection_time_ms,timestamp
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,1458630230018821104,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,178,Pass (P=0.0%),106,1776886133
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,3076415258485835583,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,176,Pass (P=0.0%),106,1776886134
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,3,15486852569523599293,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,176,Pass (P=0.0%),106,1776886134
Rust,ring,AES-256-GCM,ring::aes_gcm::aes256gcm_seal,constant_time,AdjacentNetwork,1,4388233580750185695,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,162,Pass (P=0.0%),107,1776886134
Rust,ring,AES-256-GCM,ring::aes_gcm::aes256gcm_seal,constant_time,AdjacentNetwork,2,12725918412565450672,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,161,Pass (P=0.0%),107,1776886134
Rust,ring,AES-256-GCM,ring::aes_gcm::aes256gcm_seal,constant_time,AdjacentNetwork,3,9586926370906648524,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,161,Pass (P=0.0%),107,1776886135
Rust,RustCrypto,ChaCha20-Poly1305,rustcrypto::chacha20poly1305::encrypt,constant_time,AdjacentNetwork,1,6397729875597793294,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,182,Pass (P=0.0%),132,1776886135
Rust,RustCrypto,ChaCha20-Poly1305,rustcrypto::chacha20poly1305::encrypt,constant_time,AdjacentNetwork,2,7153123539526678043,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,204,Pass (P=0.0%),132,1776886135
Rust,RustCrypto,ChaCha20-Poly1305,rustcrypto::chacha20poly1305::encrypt,constant_time,AdjacentNetwork,3,11667510189705365669,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,178,Pass (P=0.0%),132,1776886136
Rust,RustCrypto,SHA3-256,rustcrypto::sha3::sha3_256,constant_time,AdjacentNetwork,1,2370659205484225019,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,170,Pass (P=0.0%),111,1776886136
Rust,RustCrypto,SHA3-256,rustcrypto::sha3::sha3_256,constant_time,AdjacentNetwork,2,12695793908589534659,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,170,Pass (P=0.0%),111,1776886136
Rust,RustCrypto,SHA3-256,rustcrypto::sha3::sha3_256,constant_time,AdjacentNetwork,3,10811767832237769911,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,171,Pass (P=0.0%),111,1776886137
Rust,dalek,X25519,dalek::x25519::scalar_mult,constant_time,AdjacentNetwork,1,3329594042146424665,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000500,10000,333,Pass (P=0.1%),808,1776886138
Rust,dalek,X25519,dalek::x25519::scalar_mult,constant_time,AdjacentNetwork,2,4759734982315823219,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,318,Pass (P=0.0%),807,1776886139
Rust,dalek,X25519,dalek::x25519::scalar_mult,constant_time,AdjacentNetwork,3,7379035733899296255,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,320,Pass (P=0.0%),808,1776886140
C/C++,libsodium,Ed25519,c_libraries::libsodium::ed25519_sign,constant_time,AdjacentNetwork,1,5730894453531837563,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,275,Pass (P=0.0%),331,1776886141
C/C++,libsodium,Ed25519,c_libraries::libsodium::ed25519_sign,constant_time,AdjacentNetwork,2,2716423204531439369,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,262,Pass (P=0.0%),330,1776886141
C/C++,libsodium,Ed25519,c_libraries::libsodium::ed25519_sign,constant_time,AdjacentNetwork,3,6102799980806824580,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,243,Pass (P=0.0%),330,1776886142
Rust,pqcrypto,ML-KEM-768,pqcrypto::kyber::kyber768_decapsulate,constant_time,PostQuantumSentinel,1,14034630046905222088,10000,0.385,rdtsc,0.000,tacet,inconclusive,false,0.021250,10000,259,"Inconclusive: DataTooNoisy { message: ""KL divergence 0.45 nats < 0.7 nats threshold; data not informative"", guidance: ""Try: more samples, higher-resolution timer, reduce system load"" }",360,1776886142
Rust,pqcrypto,ML-KEM-768,pqcrypto::kyber::kyber768_decapsulate,constant_time,PostQuantumSentinel,2,16508003644735309625,10000,0.385,rdtsc,0.000,tacet,inconclusive,false,0.054000,10000,274,"Inconclusive: SampleBudgetExceeded { current_probability: 0.054, samples_collected: 10000 }",358,1776886143
Rust,pqcrypto,ML-KEM-768,pqcrypto::kyber::kyber768_decapsulate,constant_time,PostQuantumSentinel,3,8986280208924239885,10000,0.385,rdtsc,0.000,tacet,inconclusive,false,0.015750,10000,256,"Inconclusive: DataTooNoisy { message: ""KL divergence 0.48 nats < 0.7 nats threshold; data not informative"", guidance: ""Try: more samples, higher-resolution timer, reduce system load"" }",357,1776886144
