class,timing_ns
baseline,33140.188513244466
baseline,33130.18845636056
baseline,33180.18874078007
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33180.18874078007
baseline,33130.18845636056
baseline,33180.18874078007
baseline,33130.18845636056
baseline,33180.18874078007
baseline,33220.18896831567
baseline,33180.18874078007
baseline,33220.18896831567
baseline,33220.18896831567
baseline,33140.188513244466
baseline,33160.18862701227
baseline,33210.18891143177
baseline,33120.18839947667
baseline,33140.188513244466
baseline,33100.188285708864
baseline,33110.188342592766
baseline,33120.18839947667
baseline,33160.18862701227
baseline,33140.188513244466
baseline,33160.18862701227
baseline,33180.18874078007
baseline,37530.21348527655
baseline,33160.18862701227
baseline,33120.18839947667
baseline,33110.188342592766
baseline,33160.18862701227
baseline,33190.18879766397
baseline,33200.188854547865
baseline,33180.18874078007
baseline,33230.189025199565
baseline,37450.21303020535
baseline,33140.188513244466
baseline,33150.18857012837
baseline,33180.18874078007
baseline,33150.18857012837
baseline,33180.18874078007
baseline,33150.18857012837
baseline,33160.18862701227
baseline,33180.18874078007
baseline,33170.188683896165
baseline,33220.18896831567
baseline,33220.18896831567
baseline,33180.18874078007
baseline,33100.188285708864
baseline,33210.18891143177
baseline,33150.18857012837
baseline,33150.18857012837
baseline,33110.188342592766
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33120.18839947667
baseline,33130.18845636056
baseline,33140.188513244466
baseline,33210.18891143177
baseline,33180.18874078007
baseline,33130.18845636056
baseline,33160.18862701227
baseline,33110.188342592766
baseline,34830.19812662356
baseline,33210.18891143177
baseline,33190.18879766397
baseline,33160.18862701227
baseline,33110.188342592766
baseline,33160.18862701227
baseline,33190.18879766397
baseline,33170.188683896165
baseline,33140.188513244466
baseline,33150.18857012837
baseline,33100.188285708864
baseline,33170.188683896165
baseline,33110.188342592766
baseline,33150.18857012837
baseline,33160.18862701227
baseline,33190.18879766397
baseline,33170.188683896165
baseline,33120.18839947667
baseline,33190.18879766397
baseline,33100.188285708864
baseline,33140.188513244466
baseline,33190.18879766397
baseline,33140.188513244466
baseline,37460.21308708925
baseline,33230.189025199565
baseline,33150.18857012837
baseline,33180.18874078007
baseline,33210.18891143177
baseline,33220.18896831567
baseline,33180.18874078007
baseline,33180.18874078007
baseline,33160.18862701227
baseline,33170.188683896165
baseline,33170.188683896165
baseline,33180.18874078007
baseline,33100.188285708864
baseline,33120.18839947667
baseline,33150.18857012837
baseline,33160.18862701227
baseline,33170.188683896165
baseline,33230.189025199565
baseline,33170.188683896165
baseline,37390.21268890195
baseline,33160.18862701227
baseline,33130.18845636056
baseline,33170.188683896165
baseline,33180.18874078007
baseline,33160.18862701227
baseline,33120.18839947667
baseline,33140.188513244466
baseline,33120.18839947667
baseline,33210.18891143177
baseline,33140.188513244466
baseline,33120.18839947667
baseline,33150.18857012837
baseline,33170.188683896165
baseline,33160.18862701227
baseline,33150.18857012837
baseline,33090.18822882497
baseline,33140.188513244466
baseline,33110.188342592766
baseline,33150.18857012837
baseline,33180.18874078007
baseline,33180.18874078007
baseline,33140.188513244466
baseline,33130.18845636056
baseline,33110.188342592766
baseline,33160.18862701227
baseline,33140.188513244466
baseline,33170.188683896165
baseline,33180.18874078007
baseline,33120.18839947667
baseline,34850.19824039136
baseline,33210.18891143177
baseline,33140.188513244466
baseline,33120.18839947667
baseline,33140.188513244466
baseline,33210.18891143177
baseline,33180.18874078007
baseline,33190.18879766397
baseline,33180.18874078007
baseline,33170.188683896165
baseline,33160.18862701227
baseline,33130.18845636056
baseline,33160.18862701227
baseline,33170.188683896165
baseline,33150.18857012837
baseline,33190.18879766397
baseline,33200.188854547865
baseline,33160.18862701227
baseline,33180.18874078007
baseline,33180.18874078007
baseline,33140.188513244466
baseline,33190.18879766397
baseline,33180.18874078007
baseline,33150.18857012837
baseline,33190.18879766397
baseline,33220.18896831567
baseline,37420.21285955365
baseline,33160.18862701227
baseline,33150.18857012837
baseline,33140.188513244466
baseline,33150.18857012837
baseline,33140.188513244466
baseline,33160.18862701227
baseline,33200.188854547865
baseline,33120.18839947667
baseline,33130.18845636056
baseline,33190.18879766397
baseline,33100.188285708864
baseline,33170.188683896165
baseline,33130.18845636056
baseline,33120.18839947667
baseline,37570.21371281215
baseline,33120.18839947667
baseline,33120.18839947667
baseline,33120.18839947667
baseline,33140.188513244466
baseline,33110.188342592766
baseline,33100.188285708864
baseline,33160.18862701227
baseline,33120.18839947667
baseline,33180.18874078007
baseline,33070.188115057164
baseline,33140.188513244466
baseline,33150.18857012837
baseline,33120.18839947667
baseline,34790.19789908796
baseline,33180.18874078007
baseline,33110.188342592766
baseline,33080.18817194107
baseline,33150.18857012837
baseline,33120.18839947667
baseline,33150.18857012837
baseline,33220.18896831567
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33150.18857012837
baseline,33150.18857012837
baseline,33170.188683896165
baseline,33120.18839947667
baseline,33040.187944405465
baseline,33150.18857012837
baseline,33220.18896831567
baseline,33170.188683896165
baseline,37510.21337150875
baseline,33180.18874078007
baseline,33180.18874078007
baseline,33150.18857012837
baseline,33120.18839947667
baseline,33170.188683896165
baseline,33120.18839947667
baseline,33090.18822882497
baseline,33110.188342592766
baseline,33110.188342592766
baseline,33100.188285708864
baseline,33120.18839947667
baseline,33200.188854547865
baseline,37520.21342839265
baseline,33150.18857012837
baseline,33160.18862701227
baseline,33130.18845636056
baseline,33140.188513244466
baseline,33130.18845636056
baseline,33160.18862701227
baseline,33170.188683896165
baseline,33100.188285708864
baseline,33120.18839947667
baseline,33090.18822882497
baseline,33100.188285708864
baseline,33110.188342592766
baseline,33150.18857012837
baseline,33080.18817194107
baseline,37390.21268890195
baseline,33170.188683896165
baseline,33170.188683896165
baseline,33170.188683896165
baseline,33160.18862701227
baseline,33150.18857012837
baseline,33120.18839947667
baseline,33120.18839947667
baseline,33170.188683896165
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33140.188513244466
baseline,33170.188683896165
baseline,33210.18891143177
baseline,33150.18857012837
baseline,33140.188513244466
baseline,33170.188683896165
baseline,33170.188683896165
baseline,37960.21593128425
baseline,33150.18857012837
baseline,33170.188683896165
baseline,33130.18845636056
baseline,33140.188513244466
baseline,33160.18862701227
baseline,33090.18822882497
baseline,33140.188513244466
baseline,33100.188285708864
baseline,33130.18845636056
baseline,33150.18857012837
baseline,33150.18857012837
baseline,33140.188513244466
baseline,33150.18857012837
baseline,33190.18879766397
baseline,33200.188854547865
baseline,33180.18874078007
baseline,33150.18857012837
baseline,33120.18839947667
baseline,33110.188342592766
baseline,33140.188513244466
baseline,33160.18862701227
baseline,33120.18839947667
baseline,33170.188683896165
baseline,33180.18874078007
baseline,33170.188683896165
baseline,33190.18879766397
baseline,33150.18857012837
baseline,33150.18857012837
baseline,33190.18879766397
baseline,33100.188285708864
baseline,33150.18857012837
baseline,33130.18845636056
baseline,33150.18857012837
baseline,33090.18822882497
baseline,33110.188342592766
baseline,33140.188513244466
baseline,33130.18845636056
baseline,33090.18822882497
baseline,33100.188285708864
baseline,33140.188513244466
baseline,33100.188285708864
baseline,33130.18845636056
baseline,33120.18839947667
baseline,33130.18845636056
baseline,33110.188342592766
baseline,33130.18845636056
baseline,33090.18822882497
baseline,33150.18857012837
baseline,33100.188285708864
baseline,33150.18857012837
baseline,33130.18845636056
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33150.18857012837
baseline,33100.188285708864
baseline,33130.18845636056
baseline,33090.18822882497
baseline,33110.188342592766
baseline,33140.188513244466
baseline,33110.188342592766
baseline,33210.18891143177
baseline,33130.18845636056
baseline,33080.18817194107
baseline,33080.18817194107
baseline,33140.188513244466
baseline,33130.18845636056
baseline,33100.188285708864
baseline,33140.188513244466
baseline,33160.18862701227
baseline,33100.188285708864
baseline,33140.188513244466
baseline,33120.18839947667
baseline,33130.18845636056
baseline,33090.18822882497
baseline,33100.188285708864
baseline,33110.188342592766
baseline,33140.188513244466
baseline,33130.18845636056
baseline,33150.18857012837
baseline,33080.18817194107
baseline,37360.21251825025
baseline,33070.188115057164
baseline,33120.18839947667
baseline,33160.18862701227
baseline,33150.18857012837
baseline,33140.188513244466
baseline,33150.18857012837
baseline,33170.188683896165
baseline,33190.18879766397
baseline,33160.18862701227
baseline,33190.18879766397
baseline,33180.18874078007
baseline,33160.18862701227
baseline,33180.18874078007
baseline,33120.18839947667
baseline,33160.18862701227
baseline,33130.18845636056
baseline,33120.18839947667
baseline,33100.188285708864
baseline,33130.18845636056
baseline,33130.18845636056
baseline,33130.18845636056
baseline,33180.18874078007
baseline,33150.18857012837
baseline,33130.18845636056
baseline,33200.188854547865
baseline,33160.18862701227
baseline,33200.188854547865
baseline,33180.18874078007
baseline,33140.188513244466
baseline,33160.18862701227
baseline,33190.18879766397
baseline,33120.18839947667
baseline,33110.188342592766
baseline,33120.18839947667
baseline,33160.18862701227
baseline,33100.188285708864
baseline,33200.188854547865
baseline,33190.18879766397
baseline,33130.18845636056
baseline,33150.18857012837
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33180.18874078007
baseline,33100.188285708864
baseline,33170.188683896165
baseline,33180.18874078007
baseline,33120.18839947667
baseline,33180.18874078007
baseline,33120.18839947667
baseline,33140.188513244466
baseline,33130.18845636056
baseline,33100.188285708864
baseline,33120.18839947667
baseline,33070.188115057164
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33100.188285708864
baseline,33090.18822882497
baseline,33130.18845636056
baseline,33110.188342592766
baseline,33150.18857012837
baseline,33090.18822882497
baseline,33080.18817194107
baseline,33150.18857012837
baseline,33110.188342592766
baseline,33170.188683896165
baseline,33090.18822882497
baseline,33200.188854547865
baseline,33090.18822882497
baseline,33190.18879766397
baseline,33180.18874078007
baseline,33150.18857012837
baseline,37360.21251825025
baseline,33130.18845636056
baseline,33100.188285708864
baseline,33090.18822882497
baseline,33170.188683896165
baseline,33140.188513244466
baseline,33100.188285708864
baseline,33160.18862701227
baseline,33130.18845636056
baseline,33140.188513244466
baseline,33150.18857012837
baseline,33130.18845636056
baseline,33120.18839947667
baseline,33120.18839947667
baseline,33100.188285708864
baseline,33270.18925273517
baseline,33090.18822882497
baseline,38380.21832040804
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33120.18839947667
baseline,33090.18822882497
baseline,33080.18817194107
baseline,33110.188342592766
baseline,33150.18857012837
baseline,33160.18862701227
baseline,33120.18839947667
baseline,33120.18839947667
baseline,33110.188342592766
baseline,33130.18845636056
baseline,33110.188342592766
baseline,33140.188513244466
baseline,33150.18857012837
baseline,37380.21263201805
baseline,33080.18817194107
baseline,33120.18839947667
baseline,33100.188285708864
baseline,33130.18845636056
baseline,33080.18817194107
baseline,33090.18822882497
baseline,33120.18839947667
baseline,33080.18817194107
baseline,33140.188513244466
baseline,33080.18817194107
baseline,33090.18822882497
baseline,33100.188285708864
baseline,33090.18822882497
baseline,33080.18817194107
baseline,33140.188513244466
baseline,37390.21268890195
baseline,33080.18817194107
baseline,33120.18839947667
baseline,33160.18862701227
baseline,33170.188683896165
baseline,33070.188115057164
baseline,33140.188513244466
baseline,33140.188513244466
baseline,33120.18839947667
baseline,33040.187944405465
baseline,33120.18839947667
baseline,33170.188683896165
baseline,33120.18839947667
baseline,33190.18879766397
baseline,33170.188683896165
baseline,33140.188513244466
baseline,33110.188342592766
baseline,33100.188285708864
baseline,33140.188513244466
baseline,33100.188285708864
baseline,33100.188285708864
baseline,33090.18822882497
baseline,33120.18839947667
baseline,33170.188683896165
baseline,33180.18874078007
baseline,33160.18862701227
baseline,33160.18862701227
baseline,33200.188854547865
baseline,33130.18845636056
baseline,34820.19806973966
baseline,33210.18891143177
baseline,33190.18879766397
baseline,33150.18857012837
baseline,33200.188854547865
baseline,33150.18857012837
baseline,33080.18817194107
baseline,33090.18822882497
baseline,33120.18839947667
baseline,33110.188342592766
baseline,33160.18862701227
baseline,33130.18845636056
baseline,33160.18862701227
baseline,33100.188285708864
baseline,33150.18857012837
baseline,33080.18817194107
baseline,33090.18822882497
baseline,33180.18874078007
baseline,33130.18845636056
baseline,33140.188513244466
baseline,33200.188854547865
baseline,33200.188854547865
baseline,33110.188342592766
baseline,33180.18874078007
baseline,33140.188513244466
baseline,33130.18845636056
baseline,33150.18857012837
baseline,33140.188513244466
baseline,33120.18839947667
baseline,33180.18874078007
baseline,33200.188854547865
baseline,33140.188513244466
baseline,33140.188513244466
baseline,33260.189195851264
baseline,33180.18874078007
baseline,33130.18845636056
baseline,33100.188285708864
baseline,37370.21257513415
baseline,33150.18857012837
baseline,33080.18817194107
baseline,33210.18891143177
baseline,33210.18891143177
baseline,33150.18857012837
baseline,33140.188513244466
baseline,33210.18891143177
baseline,33120.18839947667
baseline,33090.18822882497
baseline,33180.18874078007
baseline,33200.188854547865
baseline,33170.188683896165
baseline,33130.18845636056
baseline,33140.188513244466
baseline,33150.18857012837
baseline,33160.18862701227
baseline,33110.188342592766
baseline,33100.188285708864
baseline,33090.18822882497
baseline,33090.18822882497
baseline,33110.188342592766
baseline,34800.19795597186
baseline,33140.188513244466
baseline,33090.18822882497
baseline,33110.188342592766
baseline,33110.188342592766
baseline,33120.18839947667
baseline,33110.188342592766
baseline,33110.188342592766
baseline,33160.18862701227
baseline,33120.18839947667
baseline,33080.18817194107
baseline,33110.188342592766
baseline,33140.188513244466
baseline,33160.18862701227
baseline,33070.188115057164
baseline,33140.188513244466
baseline,33120.18839947667
baseline,33060.18805817327
baseline,33150.18857012837
baseline,33180.18874078007
baseline,33170.188683896165
baseline,33110.188342592766
baseline,37440.21297332145
baseline,33140.188513244466
baseline,33090.18822882497
baseline,33130.18845636056
baseline,33170.188683896165
baseline,33220.18896831567
baseline,33170.188683896165
baseline,33130.18845636056
baseline,33130.18845636056
baseline,33100.188285708864
baseline,33110.188342592766
baseline,33160.18862701227
baseline,33170.188683896165
baseline,33100.188285708864
baseline,33110.188342592766
baseline,33100.188285708864
baseline,33080.18817194107
baseline,33110.188342592766
baseline,33100.188285708864
baseline,37380.21263201805
baseline,33140.188513244466
baseline,33140.188513244466
baseline,33140.188513244466
baseline,33120.18839947667
baseline,33090.18822882497
baseline,33110.188342592766
baseline,33160.18862701227
baseline,33090.18822882497
baseline,33120.18839947667
baseline,33130.18845636056
baseline,33160.18862701227
baseline,33110.188342592766
baseline,33120.18839947667
baseline,33190.18879766397
baseline,33140.188513244466
baseline,37370.21257513415
baseline,33110.188342592766
