class,timing_ns
baseline,8490.05632374552
baseline,8380.055593991456
baseline,8350.05539496762
baseline,8490.05632374552
baseline,8420.055859356571
baseline,8430.055925697849
baseline,8370.055527650178
baseline,8370.055527650178
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8370.055527650178
baseline,8450.056058380405
baseline,8400.055726674012
baseline,8330.055262285063
baseline,8390.055660332735
baseline,8450.056058380405
baseline,8380.055593991456
baseline,8740.057982277485
baseline,8490.05632374552
baseline,8360.055461308899
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8610.057119840863
baseline,8460.056124721685
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8380.055593991456
baseline,8440.055992039128
baseline,8370.055527650178
baseline,8540.056655451914
baseline,8350.05539496762
baseline,8460.056124721685
baseline,8540.056655451914
baseline,8350.05539496762
baseline,8540.056655451914
baseline,8330.055262285063
baseline,8450.056058380405
baseline,8350.05539496762
baseline,8360.055461308899
baseline,8450.056058380405
baseline,8450.056058380405
baseline,8490.05632374552
baseline,8480.056257404241
baseline,8390.055660332735
baseline,8460.056124721685
baseline,8360.055461308899
baseline,8470.056191062964
baseline,8480.056257404241
baseline,8470.056191062964
baseline,8470.056191062964
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8480.056257404241
baseline,8470.056191062964
baseline,8450.056058380405
baseline,8390.055660332735
baseline,8390.055660332735
baseline,8360.055461308899
baseline,8340.055328626342
baseline,8360.055461308899
baseline,8460.056124721685
baseline,8490.05632374552
baseline,8480.056257404241
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8350.05539496762
baseline,8420.055859356571
baseline,8380.055593991456
baseline,8460.056124721685
baseline,8460.056124721685
baseline,8470.056191062964
baseline,8480.056257404241
baseline,8380.055593991456
baseline,8470.056191062964
baseline,12850.085248542984
baseline,8380.055593991456
baseline,8450.056058380405
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8440.055992039128
baseline,8360.055461308899
baseline,8620.057186182143
baseline,8420.055859356571
baseline,8440.055992039128
baseline,8370.055527650178
baseline,8350.05539496762
baseline,8450.056058380405
baseline,8430.055925697849
baseline,8400.055726674012
baseline,8340.055328626342
baseline,8460.056124721685
baseline,8570.05685447575
baseline,8340.055328626342
baseline,8320.055195943785
baseline,8350.05539496762
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8560.05678813447
baseline,8410.055793015292
baseline,8430.055925697849
baseline,8380.055593991456
baseline,8450.056058380405
baseline,8590.056987158307
baseline,8330.055262285063
baseline,8460.056124721685
baseline,8340.055328626342
baseline,8470.056191062964
baseline,8450.056058380405
baseline,8440.055992039128
baseline,8540.056655451914
baseline,8420.055859356571
baseline,8380.055593991456
baseline,8470.056191062964
baseline,8340.055328626342
baseline,8480.056257404241
baseline,8460.056124721685
baseline,8630.05725252342
baseline,8470.056191062964
baseline,8470.056191062964
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8520.056522769357
baseline,10540.069923707631
baseline,8390.055660332735
baseline,8560.05678813447
baseline,8570.05685447575
baseline,8380.055593991456
baseline,8370.055527650178
baseline,8580.056920817027
baseline,8460.056124721685
baseline,8360.055461308899
baseline,8370.055527650178
baseline,8580.056920817027
baseline,8470.056191062964
baseline,8400.055726674012
baseline,13700.090887551665
baseline,8520.056522769357
baseline,8350.05539496762
baseline,8330.055262285063
baseline,8570.05685447575
baseline,8460.056124721685
baseline,8380.055593991456
baseline,8400.055726674012
baseline,8630.05725252342
baseline,8360.055461308899
baseline,8490.05632374552
baseline,8360.055461308899
baseline,8350.05539496762
baseline,8430.055925697849
baseline,8460.056124721685
baseline,8440.055992039128
baseline,8460.056124721685
baseline,8330.055262285063
baseline,8350.05539496762
baseline,8470.056191062964
baseline,8350.05539496762
baseline,8400.055726674012
baseline,8460.056124721685
baseline,8360.055461308899
baseline,8340.055328626342
baseline,8480.056257404241
baseline,8500.056390086798
baseline,8370.055527650178
baseline,8430.055925697849
baseline,8350.05539496762
baseline,8350.05539496762
baseline,8410.055793015292
baseline,8470.056191062964
baseline,8470.056191062964
baseline,8330.055262285063
baseline,8470.056191062964
baseline,8600.057053499586
baseline,8510.056456428078
baseline,8460.056124721685
baseline,8490.05632374552
baseline,8380.055593991456
baseline,8350.05539496762
baseline,8330.055262285063
baseline,8370.055527650178
baseline,8430.055925697849
baseline,8580.056920817027
baseline,8450.056058380405
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8450.056058380405
baseline,8380.055593991456
baseline,8490.05632374552
baseline,8360.055461308899
baseline,8470.056191062964
baseline,8500.056390086798
baseline,8360.055461308899
baseline,8400.055726674012
baseline,12820.085049519148
baseline,8360.055461308899
baseline,8380.055593991456
baseline,8460.056124721685
baseline,8360.055461308899
baseline,8350.05539496762
baseline,8440.055992039128
baseline,8370.055527650178
baseline,8490.05632374552
baseline,8340.055328626342
baseline,8480.056257404241
baseline,8360.055461308899
baseline,8340.055328626342
baseline,8370.055527650178
baseline,8520.056522769357
baseline,8470.056191062964
baseline,8340.055328626342
baseline,8380.055593991456
baseline,8460.056124721685
baseline,8490.05632374552
baseline,8480.056257404241
baseline,8370.055527650178
baseline,8370.055527650178
baseline,8440.055992039128
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8360.055461308899
baseline,8500.056390086798
baseline,8470.056191062964
baseline,8400.055726674012
baseline,8480.056257404241
baseline,8420.055859356571
baseline,8440.055992039128
baseline,8450.056058380405
baseline,8470.056191062964
baseline,8450.056058380405
baseline,8350.05539496762
baseline,8350.05539496762
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8450.056058380405
baseline,8340.055328626342
baseline,8450.056058380405
baseline,8350.05539496762
baseline,8340.055328626342
baseline,8440.055992039128
baseline,8560.05678813447
baseline,8470.056191062964
baseline,8450.056058380405
baseline,8360.055461308899
baseline,8410.055793015292
baseline,8390.055660332735
baseline,8390.055660332735
baseline,8350.05539496762
baseline,8460.056124721685
baseline,8450.056058380405
baseline,8360.055461308899
baseline,8350.05539496762
baseline,12990.086177320885
baseline,8380.055593991456
baseline,8480.056257404241
baseline,8390.055660332735
baseline,8370.055527650178
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8470.056191062964
baseline,8450.056058380405
baseline,8370.055527650178
baseline,8370.055527650178
baseline,8350.05539496762
baseline,8360.055461308899
baseline,8380.055593991456
baseline,8390.055660332735
baseline,8470.056191062964
baseline,8460.056124721685
baseline,8370.055527650178
baseline,8580.056920817027
baseline,8470.056191062964
baseline,8380.055593991456
baseline,8550.056721793191
baseline,8380.055593991456
baseline,8400.055726674012
baseline,8350.05539496762
baseline,8400.055726674012
baseline,8370.055527650178
baseline,8490.05632374552
baseline,8370.055527650178
baseline,8590.056987158307
baseline,8350.05539496762
baseline,8370.055527650178
baseline,8350.05539496762
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8370.055527650178
baseline,8350.05539496762
baseline,8400.055726674012
baseline,8480.056257404241
baseline,8510.056456428078
baseline,8540.056655451914
baseline,8360.055461308899
baseline,8470.056191062964
baseline,8340.055328626342
baseline,8380.055593991456
baseline,8550.056721793191
baseline,8390.055660332735
baseline,8470.056191062964
baseline,8390.055660332735
baseline,8440.055992039128
baseline,8460.056124721685
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8370.055527650178
baseline,8490.05632374552
baseline,8340.055328626342
baseline,8460.056124721685
baseline,8360.055461308899
baseline,8350.05539496762
baseline,8360.055461308899
baseline,8490.05632374552
baseline,8480.056257404241
baseline,8480.056257404241
baseline,8480.056257404241
baseline,8450.056058380405
baseline,8360.055461308899
baseline,8490.05632374552
baseline,8370.055527650178
baseline,8480.056257404241
baseline,8550.056721793191
baseline,8470.056191062964
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8460.056124721685
baseline,8520.056522769357
baseline,8460.056124721685
baseline,8490.05632374552
baseline,8350.05539496762
baseline,8490.05632374552
baseline,8370.055527650178
baseline,8370.055527650178
baseline,8370.055527650178
baseline,8360.055461308899
baseline,8370.055527650178
baseline,8450.056058380405
baseline,8460.056124721685
baseline,8490.05632374552
baseline,8390.055660332735
baseline,8450.056058380405
baseline,8460.056124721685
baseline,8380.055593991456
baseline,8450.056058380405
baseline,8580.056920817027
baseline,8370.055527650178
baseline,8350.05539496762
baseline,8450.056058380405
baseline,8370.055527650178
baseline,8370.055527650178
baseline,8440.055992039128
baseline,8370.055527650178
baseline,8390.055660332735
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8390.055660332735
baseline,8360.055461308899
baseline,8330.055262285063
baseline,8490.05632374552
baseline,8380.055593991456
baseline,8450.056058380405
baseline,8470.056191062964
baseline,8370.055527650178
baseline,8390.055660332735
baseline,8510.056456428078
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8370.055527650178
baseline,8390.055660332735
baseline,8580.056920817027
baseline,8380.055593991456
baseline,8520.056522769357
baseline,13740.091152916779
baseline,8360.055461308899
baseline,8480.056257404241
baseline,8380.055593991456
baseline,8480.056257404241
baseline,8500.056390086798
baseline,8380.055593991456
baseline,8370.055527650178
baseline,8460.056124721685
baseline,8400.055726674012
baseline,8420.055859356571
baseline,8480.056257404241
baseline,8470.056191062964
baseline,8580.056920817027
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8680.057584229813
baseline,8550.056721793191
baseline,8480.056257404241
baseline,8360.055461308899
baseline,8480.056257404241
baseline,8400.055726674012
baseline,8380.055593991456
baseline,8380.055593991456
baseline,8470.056191062964
baseline,8480.056257404241
baseline,8370.055527650178
baseline,8480.056257404241
baseline,8380.055593991456
baseline,8370.055527650178
baseline,8360.055461308899
baseline,8370.055527650178
baseline,8360.055461308899
baseline,8490.05632374552
baseline,8380.055593991456
baseline,8340.055328626342
baseline,8350.05539496762
baseline,8500.056390086798
baseline,8490.05632374552
baseline,8480.056257404241
baseline,8460.056124721685
baseline,8480.056257404241
baseline,8380.055593991456
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8400.055726674012
baseline,8360.055461308899
baseline,8390.055660332735
baseline,8480.056257404241
baseline,8460.056124721685
baseline,8400.055726674012
baseline,8390.055660332735
baseline,8570.05685447575
baseline,8480.056257404241
baseline,8470.056191062964
baseline,8480.056257404241
baseline,8380.055593991456
baseline,8370.055527650178
baseline,8490.05632374552
baseline,12970.086044638329
baseline,8460.056124721685
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8370.055527650178
baseline,8350.05539496762
baseline,8420.055859356571
baseline,8360.055461308899
baseline,8400.055726674012
baseline,8480.056257404241
baseline,8470.056191062964
baseline,8330.055262285063
baseline,8480.056257404241
baseline,8360.055461308899
baseline,8350.05539496762
baseline,8480.056257404241
baseline,8400.055726674012
baseline,8460.056124721685
baseline,8460.056124721685
baseline,8380.055593991456
baseline,8360.055461308899
baseline,8350.05539496762
baseline,8350.05539496762
baseline,8360.055461308899
baseline,8490.05632374552
baseline,8490.05632374552
baseline,8360.055461308899
baseline,8490.05632374552
baseline,8380.055593991456
baseline,8490.05632374552
baseline,8360.055461308899
baseline,8460.056124721685
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8500.056390086798
baseline,8370.055527650178
baseline,8490.05632374552
baseline,8490.05632374552
baseline,8370.055527650178
baseline,8400.055726674012
baseline,8500.056390086798
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8500.056390086798
baseline,8490.05632374552
baseline,8390.055660332735
baseline,8400.055726674012
baseline,8480.056257404241
baseline,8480.056257404241
baseline,8380.055593991456
baseline,8370.055527650178
baseline,8360.055461308899
baseline,8470.056191062964
baseline,8450.056058380405
baseline,8470.056191062964
baseline,8370.055527650178
baseline,8360.055461308899
baseline,8430.055925697849
baseline,8420.055859356571
baseline,8420.055859356571
baseline,8490.05632374552
baseline,8360.055461308899
baseline,13130.087106098785
baseline,8370.055527650178
baseline,8380.055593991456
baseline,8370.055527650178
baseline,8460.056124721685
baseline,8370.055527650178
baseline,8500.056390086798
baseline,8450.056058380405
baseline,8450.056058380405
baseline,8620.057186182143
baseline,8380.055593991456
baseline,8460.056124721685
baseline,8350.05539496762
baseline,8360.055461308899
baseline,8340.055328626342
baseline,8340.055328626342
baseline,8440.055992039128
baseline,8480.056257404241
baseline,8470.056191062964
baseline,8360.055461308899
baseline,8470.056191062964
baseline,8390.055660332735
baseline,8360.055461308899
baseline,8420.055859356571
baseline,8470.056191062964
baseline,8350.05539496762
baseline,8400.055726674012
baseline,8480.056257404241
baseline,8440.055992039128
baseline,8360.055461308899
baseline,8410.055793015292
baseline,8370.055527650178
baseline,8650.057385205979
baseline,8370.055527650178
baseline,8470.056191062964
baseline,8460.056124721685
baseline,8350.05539496762
baseline,8440.055992039128
baseline,8460.056124721685
baseline,8370.055527650178
baseline,8400.055726674012
baseline,8500.056390086798
baseline,8470.056191062964
baseline,8450.056058380405
baseline,8350.05539496762
baseline,8350.05539496762
baseline,8470.056191062964
baseline,8360.055461308899
baseline,8480.056257404241
baseline,8460.056124721685
baseline,8360.055461308899
baseline,8360.055461308899
baseline,8340.055328626342
baseline,8450.056058380405
baseline,8380.055593991456
baseline,8470.056191062964
baseline,8460.056124721685
baseline,8560.05678813447
baseline,8490.05632374552
baseline,8350.05539496762
baseline,8380.055593991456
baseline,8380.055593991456
baseline,8480.056257404241
baseline,8480.056257404241
baseline,8360.055461308899
baseline,8400.055726674012
baseline,8460.056124721685
baseline,8470.056191062964
baseline,8490.05632374552
baseline,8480.056257404241
baseline,8520.056522769357
baseline,8420.055859356571
baseline,8530.056589110634
baseline,8450.056058380405
baseline,8650.057385205979
baseline,8570.05685447575
baseline,8570.05685447575
baseline,8730.057915936206
baseline,8600.057053499586
baseline,8520.056522769357
baseline,8660.057451547256
baseline,8560.05678813447
baseline,8520.056522769357
baseline,8510.056456428078
baseline,8400.055726674012
baseline,8390.055660332735
baseline,8350.05539496762
baseline,8500.056390086798
baseline,8580.056920817027
baseline,8480.056257404241
baseline,8360.055461308899
baseline,8460.056124721685
baseline,8370.055527650178
baseline,8450.056058380405
baseline,8380.055593991456
baseline,8470.056191062964
baseline,8510.056456428078
baseline,8480.056257404241
baseline,8480.056257404241
baseline,8620.057186182143
baseline,8520.056522769357
baseline,8460.056124721685
baseline,8340.055328626342
baseline,8330.055262285063
baseline,8360.055461308899
baseline,8350.05539496762
baseline,8470.056191062964
baseline,8350.05539496762
baseline,8600.057053499586
baseline,8440.055992039128
baseline,8470.056191062964
baseline,8540.056655451914
baseline,8480.056257404241
baseline,8450.056058380405
baseline,8360.055461308899
baseline,8390.055660332735
baseline,8360.055461308899
baseline,8400.055726674012
baseline,8500.056390086798
baseline,8350.05539496762
baseline,8380.055593991456
baseline,8480.056257404241
baseline,8360.055461308899
baseline,8470.056191062964
baseline,8580.056920817027
baseline,8360.055461308899
baseline,8490.05632374552
baseline,8410.055793015292
baseline,8370.055527650178
baseline,8390.055660332735
