ecosystem,library,primitive,test_id,expected,attacker_model,iteration,seed,samples_per_class,timer_resolution_ns,timer_name,dither_ns,tool,outcome,detected_leak,leak_probability,samples_used,decision_time_ms,status,collection_time_ms,timestamp
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,1,10055808966666687751,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,405,Pass (P=0.0%),106,1776886204
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,2,3723667414030900142,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,309,Pass (P=0.0%),114,1776886205
Rust,RustCrypto,AES-128,rustcrypto::aes::aes128_encrypt,constant_time,AdjacentNetwork,3,16469891856467537339,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,392,Pass (P=0.0%),109,1776886205
Rust,ring,AES-256-GCM,ring::aes_gcm::aes256gcm_seal,constant_time,AdjacentNetwork,1,5175682645003055307,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,372,Pass (P=0.0%),108,1776886206
Rust,ring,AES-256-GCM,ring::aes_gcm::aes256gcm_seal,constant_time,AdjacentNetwork,2,16707540916637368186,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,374,Pass (P=0.0%),115,1776886206
Rust,ring,AES-256-GCM,ring::aes_gcm::aes256gcm_seal,constant_time,AdjacentNetwork,3,16643684021913968061,10000,0.385,rdtsc,0.000,tacet,pass,false,0.000000,10000,419,Pass (P=0.0%),112,1776886207
Rust,RustCrypto,ChaCha20-Poly1305,rustcrypto::chacha20poly1305::encrypt,constant_time,AdjacentNetwork,1,9385051983858087322,10000,0.385,rdtsc,0.000,tacet,inconclusive,false,0.000500,10000,354,"Inconclusive: DataTooNoisy { message: ""KL divergence 0.40 nats < 0.7 nats threshold; data not informative"", guidance: ""Try: more samples, higher-resolution timer, reduce system load"" }",167,1776886207
Rust,RustCrypto,ChaCha20-Poly1305,rustcrypto::chacha20poly1305::encrypt,constant_time,AdjacentNetwork,2,11813413986361533394,10000,0.385,rdtsc,0.000,tacet,inconclusive,false,0.000750,10000,475,"Inconclusive: DataTooNoisy { message: ""KL divergence 0.45 nats < 0.7 nats threshold; data not informative"", guidance: ""Try: more samples, higher-resolution timer, reduce system load"" }",165,1776886208
Rust,RustCrypto,ChaCha20-Poly1305,rustcrypto::chacha20poly1305::encrypt,constant_time,AdjacentNetwork,3,3736544607632446674,10000,0.385,rdtsc,0.000,tacet,inconclusive,false,0.000250,10000,471,"Inconclusive: DataTooNoisy { message: ""KL divergence 0.39 nats < 0.7 nats threshold; data not informative"", guidance: ""Try: more samples, higher-resolution timer, reduce system load"" }",185,1776886208
Rust,RustCrypto,SHA3-256,rustcrypto::sha3::sha3_256,constant_time,AdjacentNetwork,1,151285259851701182,10000,0.385,rdtsc,0.000,tacet,inconclusive,false,0.117500,10000,355,"Inconclusive: DataTooNoisy { message: ""KL divergence 0.46 nats < 0.7 nats threshold; data not informative"", guidance: ""Try: more samples, higher-resolution timer, reduce system load"" }",121,1776886209
