class,timing_ns
baseline,11241.432037619514
baseline,11081.411652742367
baseline,11181.424393290583
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11081.411652742367
baseline,11101.41420085201
baseline,11151.420571126118
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11141.419297071296
baseline,15952.032117440502
baseline,11151.420571126118
baseline,11151.420571126118
baseline,11131.418023016475
baseline,11141.419297071296
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11141.419297071296
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11181.424393290583
baseline,11121.416748961654
baseline,11141.419297071296
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11151.420571126118
baseline,11161.42184518094
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11161.42184518094
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11161.42184518094
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11081.411652742367
baseline,11121.416748961654
baseline,11091.412926797188
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11141.419297071296
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11151.420571126118
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11061.409104632723
baseline,11061.409104632723
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11141.419297071296
baseline,11111.415474906831
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11151.420571126118
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11141.419297071296
baseline,11161.42184518094
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11151.420571126118
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11161.42184518094
baseline,11121.416748961654
baseline,11151.420571126118
baseline,11091.412926797188
baseline,11141.419297071296
baseline,11111.415474906831
baseline,11161.42184518094
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11151.420571126118
baseline,11111.415474906831
baseline,11071.410378687546
baseline,11081.411652742367
baseline,11131.418023016475
baseline,11091.412926797188
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11161.42184518094
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11131.418023016475
baseline,11161.42184518094
baseline,11101.41420085201
baseline,11181.424393290583
baseline,11111.415474906831
baseline,12231.558169046853
baseline,11161.42184518094
baseline,11121.416748961654
baseline,11081.411652742367
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11161.42184518094
baseline,11181.424393290583
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11161.42184518094
baseline,11351.44605222255
baseline,11131.418023016475
baseline,11141.419297071296
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11151.420571126118
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11091.412926797188
baseline,11141.419297071296
baseline,11101.41420085201
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11161.42184518094
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11171.423119235762
baseline,11141.419297071296
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11061.409104632723
baseline,16162.058872591755
baseline,11091.412926797188
baseline,11071.410378687546
baseline,11101.41420085201
baseline,11081.411652742367
baseline,11071.410378687546
baseline,11061.409104632723
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11071.410378687546
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11061.409104632723
baseline,11071.410378687546
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11051.407830577902
baseline,11071.410378687546
baseline,11051.407830577902
baseline,11111.415474906831
baseline,11071.410378687546
baseline,11051.407830577902
baseline,11081.411652742367
baseline,11071.410378687546
baseline,11091.412926797188
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11051.407830577902
baseline,11091.412926797188
baseline,11071.410378687546
baseline,11071.410378687546
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11101.41420085201
baseline,11081.411652742367
baseline,11061.409104632723
baseline,11061.409104632723
baseline,11101.41420085201
baseline,11081.411652742367
baseline,11071.410378687546
baseline,11081.411652742367
baseline,11071.410378687546
baseline,11061.409104632723
baseline,11041.40655652308
baseline,11051.407830577902
baseline,11061.409104632723
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11171.423119235762
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11151.420571126118
baseline,11081.411652742367
baseline,11111.415474906831
baseline,11131.418023016475
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11061.409104632723
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11161.42184518094
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11081.411652742367
baseline,11111.415474906831
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11081.411652742367
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11131.418023016475
baseline,6021367.057445911
baseline,11151.420571126118
baseline,11141.419297071296
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11151.420571126118
baseline,11141.419297071296
baseline,11121.416748961654
baseline,11141.419297071296
baseline,11111.415474906831
baseline,11161.42184518094
baseline,11171.423119235762
baseline,11111.415474906831
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11131.418023016475
baseline,11141.419297071296
baseline,11161.42184518094
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11171.423119235762
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11151.420571126118
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11171.423119235762
baseline,11151.420571126118
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11141.419297071296
baseline,11141.419297071296
baseline,11121.416748961654
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11141.419297071296
baseline,11081.411652742367
baseline,11111.415474906831
baseline,16172.060146646576
baseline,11081.411652742367
baseline,11101.41420085201
baseline,11071.410378687546
baseline,11101.41420085201
baseline,11141.419297071296
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11141.419297071296
baseline,11111.415474906831
baseline,11141.419297071296
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11161.42184518094
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11171.423119235762
baseline,11121.416748961654
baseline,11141.419297071296
baseline,11121.416748961654
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11071.410378687546
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11131.418023016475
baseline,11201.426941400226
baseline,11091.412926797188
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11111.415474906831
baseline,15892.02447311157
baseline,11111.415474906831
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11131.418023016475
baseline,11161.42184518094
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11071.410378687546
baseline,11101.41420085201
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11131.418023016475
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11071.410378687546
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11161.42184518094
baseline,11111.415474906831
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11131.418023016475
baseline,11161.42184518094
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11141.419297071296
baseline,6018466.687970012
baseline,11411.45369655148
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11161.42184518094
baseline,11131.418023016475
baseline,11191.425667345404
baseline,11121.416748961654
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11161.42184518094
baseline,11111.415474906831
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11071.410378687546
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11091.412926797188
baseline,11071.410378687546
baseline,11061.409104632723
baseline,11161.42184518094
baseline,11101.41420085201
baseline,11121.416748961654
baseline,11131.418023016475
baseline,11101.41420085201
baseline,11071.410378687546
baseline,11081.411652742367
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11061.409104632723
baseline,11051.407830577902
baseline,11071.410378687546
baseline,11061.409104632723
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11131.418023016475
baseline,11071.410378687546
baseline,11131.418023016475
baseline,11061.409104632723
baseline,11061.409104632723
baseline,11091.412926797188
baseline,11081.411652742367
baseline,11151.420571126118
baseline,11091.412926797188
baseline,11131.418023016475
baseline,11081.411652742367
baseline,11141.419297071296
baseline,11131.418023016475
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11141.419297071296
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11101.41420085201
baseline,12701.61804962347
baseline,11151.420571126118
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11111.415474906831
baseline,11151.420571126118
baseline,11091.412926797188
baseline,11121.416748961654
baseline,11081.411652742367
baseline,11071.410378687546
baseline,11071.410378687546
baseline,11101.41420085201
baseline,11081.411652742367
baseline,11131.418023016475
baseline,11071.410378687546
baseline,11071.410378687546
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11141.419297071296
baseline,11091.412926797188
baseline,11131.418023016475
baseline,11151.420571126118
baseline,11161.42184518094
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11081.411652742367
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11081.411652742367
baseline,11101.41420085201
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11171.423119235762
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11091.412926797188
baseline,6017766.598786175
baseline,11181.424393290583
baseline,11181.424393290583
baseline,11101.41420085201
baseline,11151.420571126118
baseline,11141.419297071296
baseline,11151.420571126118
baseline,11141.419297071296
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11151.420571126118
baseline,11151.420571126118
baseline,11091.412926797188
baseline,11111.415474906831
baseline,11151.420571126118
baseline,11121.416748961654
baseline,11141.419297071296
baseline,11211.428215455047
baseline,11111.415474906831
baseline,11141.419297071296
baseline,11131.418023016475
baseline,11171.423119235762
baseline,11151.420571126118
baseline,11161.42184518094
baseline,11171.423119235762
baseline,11131.418023016475
baseline,11191.425667345404
baseline,11141.419297071296
baseline,11151.420571126118
baseline,11151.420571126118
baseline,11141.419297071296
baseline,11131.418023016475
baseline,11101.41420085201
baseline,11141.419297071296
baseline,13271.690670748303
baseline,11221.42948950987
baseline,11111.415474906831
baseline,11131.418023016475
baseline,11141.419297071296
baseline,11091.412926797188
baseline,11131.418023016475
baseline,11121.416748961654
baseline,11161.42184518094
baseline,11141.419297071296
baseline,11171.423119235762
baseline,11141.419297071296
baseline,11101.41420085201
baseline,11121.416748961654
baseline,11111.415474906831
baseline,11171.423119235762
baseline,11151.420571126118
baseline,11141.419297071296
baseline,11111.415474906831
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11141.419297071296
baseline,11151.420571126118
baseline,11141.419297071296
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11081.411652742367
baseline,11131.418023016475
baseline,11101.41420085201
baseline,11121.416748961654
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11131.418023016475
baseline,11091.412926797188
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11111.415474906831
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11151.420571126118
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11171.423119235762
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11161.42184518094
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11121.416748961654
baseline,11091.412926797188
baseline,11091.412926797188
baseline,15882.02319905675
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11101.41420085201
baseline,11091.412926797188
baseline,11071.410378687546
baseline,11101.41420085201
baseline,11121.416748961654
baseline,11061.409104632723
baseline,11091.412926797188
baseline,11071.410378687546
baseline,11131.418023016475
baseline,11131.418023016475
baseline,11091.412926797188
baseline,11101.41420085201
baseline,11111.415474906831
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11081.411652742367
baseline,11121.416748961654
baseline,11101.41420085201
baseline,11141.419297071296
baseline,11131.418023016475
