class,timing_ns
baseline,33430.50715630083
baseline,33450.50745971471
baseline,33460.50761142165
baseline,33350.50594264531
baseline,33350.50594264531
baseline,33460.50761142165
baseline,33450.50745971471
baseline,33380.50639776613
baseline,33410.50685288695
baseline,33330.50563923143
baseline,33390.506549473066
baseline,37810.573603940604
baseline,33450.50745971471
baseline,33330.50563923143
baseline,33380.50639776613
baseline,33320.50548752449
baseline,33350.50594264531
baseline,33300.50518411061
baseline,33340.50579093837
baseline,33340.50579093837
baseline,33390.506549473066
baseline,33350.50594264531
baseline,6041081.646010821
baseline,33310.50533581755
baseline,33300.50518411061
baseline,33380.50639776613
baseline,33300.50518411061
baseline,33260.504577282845
baseline,33280.504880696724
baseline,33270.504728989785
baseline,33300.50518411061
baseline,33270.504728989785
baseline,33270.504728989785
baseline,33350.50594264531
baseline,33320.50548752449
baseline,33280.504880696724
baseline,33320.50548752449
baseline,33270.504728989785
baseline,33330.50563923143
baseline,33310.50533581755
baseline,33270.504728989785
baseline,33340.50579093837
baseline,33310.50533581755
baseline,33300.50518411061
baseline,33270.504728989785
baseline,33350.50594264531
baseline,33260.504577282845
baseline,33290.505032403664
baseline,33270.504728989785
baseline,33300.50518411061
baseline,33300.50518411061
baseline,33280.504880696724
baseline,33250.504425575906
baseline,33370.50624605919
baseline,33340.50579093837
baseline,33380.50639776613
baseline,33320.50548752449
baseline,33260.504577282845
baseline,33280.504880696724
baseline,33400.506701180006
baseline,33390.506549473066
baseline,33350.50594264531
baseline,33370.50624605919
baseline,33370.50624605919
baseline,33350.50594264531
baseline,33300.50518411061
baseline,33340.50579093837
baseline,33350.50594264531
baseline,33390.506549473066
baseline,33410.50685288695
baseline,33410.50685288695
baseline,33390.506549473066
baseline,33390.506549473066
baseline,33420.50700459389
baseline,33390.506549473066
baseline,33370.50624605919
baseline,33360.50609435225
baseline,33360.50609435225
baseline,33380.50639776613
baseline,33300.50518411061
baseline,33330.50563923143
baseline,33310.50533581755
baseline,33320.50548752449
baseline,33350.50594264531
baseline,33390.506549473066
baseline,33380.50639776613
baseline,33360.50609435225
baseline,33390.506549473066
baseline,33480.50791483553
baseline,33650.510493853515
baseline,33550.50897678411
baseline,33480.50791483553
baseline,33390.506549473066
baseline,33410.50685288695
baseline,33400.506701180006
baseline,33410.50685288695
baseline,33410.50685288695
baseline,33430.50715630083
baseline,37940.575576130825
baseline,33390.506549473066
baseline,33380.50639776613
baseline,33750.51201092291
baseline,33970.515348475594
baseline,34560.52429918506
baseline,34560.52429918506
