class,timing_ns
baseline,8731.043193748523
baseline,8711.040803843029
baseline,8951.069482708966
baseline,8681.037218984786
baseline,8731.043193748523
baseline,8801.051558417756
baseline,8771.047973559513
baseline,8671.036024032039
baseline,8761.046778606766
baseline,8591.026464410059
baseline,8741.04438870127
baseline,8681.037218984786
baseline,8721.041998795776
baseline,8801.051558417756
baseline,8801.051558417756
baseline,8681.037218984786
baseline,8701.03960889028
baseline,8701.03960889028
baseline,8591.026464410059
baseline,8801.051558417756
baseline,8651.033634126543
baseline,8661.03482907929
baseline,8581.025269457312
baseline,8851.057533181493
baseline,8821.05394832325
baseline,8941.06828775622
baseline,8841.056338228746
baseline,8981.07306756721
baseline,9051.08143223644
baseline,9051.08143223644
baseline,9041.080237283693
baseline,9091.08621204743
baseline,8981.07306756721
baseline,8771.047973559513
baseline,8801.051558417756
baseline,9011.07665242545
baseline,8931.067092803472
baseline,8951.069482708966
baseline,8921.065897850724
baseline,8931.067092803472
baseline,8891.062312992482
baseline,8831.055143275997
baseline,8921.065897850724
baseline,9031.079042330946
baseline,8821.05394832325
baseline,8771.047973559513
baseline,8931.067092803472
baseline,8831.055143275997
baseline,8931.067092803472
baseline,13831.652619649722
baseline,8841.056338228746
baseline,8901.06350794523
baseline,8821.05394832325
baseline,8811.052753370503
baseline,8951.069482708966
baseline,9041.080237283693
baseline,9031.079042330946
baseline,8941.06828775622
baseline,9041.080237283693
baseline,8921.065897850724
baseline,9031.079042330946
baseline,8891.062312992482
baseline,9211.1005514804
baseline,9101.08740700018
baseline,9161.094576716663
baseline,9111.088601952926
baseline,9261.106526244137
baseline,9031.079042330946
baseline,9161.094576716663
baseline,8891.062312992482
baseline,8911.064702897977
baseline,8861.05872813424
baseline,8961.070677661713
baseline,8841.056338228746
baseline,8851.057533181493
baseline,8821.05394832325
baseline,9071.083822141936
baseline,8901.06350794523
baseline,8871.059923086987
baseline,8871.059923086987
baseline,8901.06350794523
baseline,8811.052753370503
baseline,8841.056338228746
baseline,9001.075457472703
baseline,8991.074262519956
baseline,8751.045583654017
baseline,8761.046778606766
baseline,8801.051558417756
baseline,8901.06350794523
baseline,8781.04916851226
baseline,8651.033634126543
baseline,8701.03960889028
baseline,8621.0300492683
baseline,8661.03482907929
baseline,8671.036024032039
baseline,8771.047973559513
baseline,8791.050363465007
baseline,8651.033634126543
baseline,8801.051558417756
baseline,8961.070677661713
baseline,8831.055143275997
baseline,9051.08143223644
baseline,8951.069482708966
baseline,9021.0778473782
baseline,8931.067092803472
baseline,8891.062312992482
baseline,8881.061118039734
baseline,8861.05872813424
baseline,8781.04916851226
baseline,8851.057533181493
baseline,8761.046778606766
baseline,8801.051558417756
baseline,8801.051558417756
baseline,8801.051558417756
baseline,8781.04916851226
baseline,8671.036024032039
baseline,8631.031244221049
baseline,8761.046778606766
baseline,8821.05394832325
baseline,8871.059923086987
baseline,8651.033634126543
baseline,8641.032439173796
baseline,8661.03482907929
baseline,8771.047973559513
baseline,8691.038413937533
baseline,8661.03482907929
baseline,8641.032439173796
baseline,8761.046778606766
baseline,8551.021684599069
baseline,8681.037218984786
baseline,8641.032439173796
baseline,8751.045583654017
baseline,9001.075457472703
baseline,8841.056338228746
baseline,8861.05872813424
baseline,8871.059923086987
baseline,9121.089796905673
baseline,8991.074262519956
baseline,8831.055143275997
baseline,8861.05872813424
baseline,8891.062312992482
baseline,8991.074262519956
baseline,8961.070677661713
baseline,8831.055143275997
baseline,8851.057533181493
baseline,8821.05394832325
baseline,8881.061118039734
baseline,8811.052753370503
baseline,8601.027659362806
baseline,8591.026464410059
baseline,8601.027659362806
baseline,8591.026464410059
baseline,8601.027659362806
baseline,8571.024074504563
baseline,8691.038413937533
baseline,8631.031244221049
baseline,8681.037218984786
baseline,8701.03960889028
baseline,8601.027659362806
baseline,8601.027659362806
baseline,8701.03960889028
baseline,8651.033634126543
baseline,8601.027659362806
baseline,8731.043193748523
baseline,8701.03960889028
baseline,8621.0300492683
baseline,8641.032439173796
baseline,8531.019294693573
baseline,8601.027659362806
baseline,8601.027659362806
baseline,8611.028854315553
baseline,8711.040803843029
baseline,8611.028854315553
baseline,8701.03960889028
baseline,8601.027659362806
baseline,8701.03960889028
baseline,8721.041998795776
baseline,8601.027659362806
baseline,8731.043193748523
baseline,8581.025269457312
baseline,8611.028854315553
baseline,8781.04916851226
baseline,8601.027659362806
baseline,8691.038413937533
baseline,8601.027659362806
baseline,8741.04438870127
baseline,8711.040803843029
baseline,8721.041998795776
baseline,8591.026464410059
baseline,8701.03960889028
baseline,8691.038413937533
baseline,8591.026464410059
baseline,8701.03960889028
baseline,8741.04438870127
baseline,11231.341931935385
baseline,8671.036024032039
baseline,8641.032439173796
baseline,8611.028854315553
baseline,8611.028854315553
baseline,8721.041998795776
baseline,8581.025269457312
baseline,8881.061118039734
baseline,8551.021684599069
baseline,8651.033634126543
baseline,8601.027659362806
baseline,8881.061118039734
baseline,8731.043193748523
baseline,8621.0300492683
baseline,8601.027659362806
baseline,8741.04438870127
baseline,8701.03960889028
baseline,8721.041998795776
baseline,8821.05394832325
baseline,8801.051558417756
baseline,8531.019294693573
baseline,8601.027659362806
baseline,8861.05872813424
baseline,8721.041998795776
baseline,8711.040803843029
baseline,8711.040803843029
baseline,8691.038413937533
baseline,8581.025269457312
baseline,8601.027659362806
baseline,8601.027659362806
baseline,8511.016904788079
baseline,8581.025269457312
baseline,8691.038413937533
baseline,8751.045583654017
baseline,8841.056338228746
baseline,8671.036024032039
baseline,8581.025269457312
baseline,8721.041998795776
baseline,8851.057533181493
baseline,8591.026464410059
baseline,8611.028854315553
baseline,8801.051558417756
baseline,8601.027659362806
baseline,8621.0300492683
baseline,8561.022879551816
baseline,8811.052753370503
baseline,8591.026464410059
baseline,8601.027659362806
baseline,8591.026464410059
baseline,8621.0300492683
baseline,8611.028854315553
baseline,8601.027659362806
baseline,8731.043193748523
baseline,8601.027659362806
baseline,8601.027659362806
baseline,8581.025269457312
baseline,8691.038413937533
baseline,8591.026464410059
baseline,8701.03960889028
baseline,8631.031244221049
baseline,8661.03482907929
baseline,8701.03960889028
baseline,8621.0300492683
baseline,8721.041998795776
baseline,8551.021684599069
baseline,8611.028854315553
baseline,8611.028854315553
baseline,8591.026464410059
baseline,8601.027659362806
baseline,8601.027659362806
baseline,8731.043193748523
baseline,8951.069482708966
baseline,8821.05394832325
baseline,8591.026464410059
baseline,8711.040803843029
baseline,8881.061118039734
baseline,8921.065897850724
baseline,8731.043193748523
baseline,8601.027659362806
baseline,8581.025269457312
baseline,8711.040803843029
baseline,8631.031244221049
baseline,8711.040803843029
baseline,8631.031244221049
baseline,8631.031244221049
baseline,8701.03960889028
baseline,8611.028854315553
baseline,8631.031244221049
baseline,8631.031244221049
baseline,8741.04438870127
baseline,8701.03960889028
baseline,8891.062312992482
baseline,8891.062312992482
baseline,8921.065897850724
baseline,8871.059923086987
baseline,8831.055143275997
baseline,8801.051558417756
baseline,8941.06828775622
baseline,8841.056338228746
baseline,8851.057533181493
baseline,8951.069482708966
baseline,8841.056338228746
baseline,8801.051558417756
baseline,8781.04916851226
baseline,8691.038413937533
baseline,8671.036024032039
baseline,8621.0300492683
baseline,8641.032439173796
baseline,8571.024074504563
baseline,8651.033634126543
baseline,8731.043193748523
baseline,8641.032439173796
baseline,8561.022879551816
baseline,8731.043193748523
baseline,8721.041998795776
baseline,8601.027659362806
baseline,8721.041998795776
baseline,8531.019294693573
baseline,8601.027659362806
baseline,8561.022879551816
baseline,8711.040803843029
baseline,8611.028854315553
baseline,8611.028854315553
baseline,8731.043193748523
baseline,8641.032439173796
baseline,8721.041998795776
baseline,8741.04438870127
baseline,8621.0300492683
baseline,8851.057533181493
baseline,8721.041998795776
baseline,8611.028854315553
baseline,8731.043193748523
baseline,8701.03960889028
baseline,8631.031244221049
baseline,8631.031244221049
baseline,8731.043193748523
baseline,8621.0300492683
baseline,8621.0300492683
baseline,8721.041998795776
baseline,8841.056338228746
baseline,8651.033634126543
baseline,8621.0300492683
baseline,8621.0300492683
baseline,8551.021684599069
baseline,8581.025269457312
baseline,8641.032439173796
baseline,8621.0300492683
baseline,8611.028854315553
baseline,8611.028854315553
baseline,8641.032439173796
baseline,8731.043193748523
baseline,8781.04916851226
baseline,8801.051558417756
baseline,8811.052753370503
baseline,8681.037218984786
baseline,8721.041998795776
baseline,8711.040803843029
baseline,8801.051558417756
baseline,8801.051558417756
baseline,8781.04916851226
baseline,8601.027659362806
baseline,8681.037218984786
baseline,8771.047973559513
baseline,8671.036024032039
baseline,8741.04438870127
baseline,8781.04916851226
baseline,8581.025269457312
baseline,8801.051558417756
baseline,8761.046778606766
baseline,8681.037218984786
baseline,8701.03960889028
baseline,8651.033634126543
baseline,8681.037218984786
baseline,8791.050363465007
baseline,8761.046778606766
baseline,8671.036024032039
baseline,8671.036024032039
baseline,13591.623940783782
baseline,8641.032439173796
baseline,8591.026464410059
baseline,8591.026464410059
baseline,8701.03960889028
baseline,8661.03482907929
baseline,8691.038413937533
baseline,8691.038413937533
baseline,9011.07665242545
baseline,8891.062312992482
baseline,8661.03482907929
baseline,8661.03482907929
baseline,8761.046778606766
baseline,8781.04916851226
baseline,8601.027659362806
baseline,8771.047973559513
baseline,8781.04916851226
baseline,8691.038413937533
baseline,8791.050363465007
baseline,8661.03482907929
baseline,8641.032439173796
baseline,8671.036024032039
baseline,8681.037218984786
baseline,8761.046778606766
baseline,8801.051558417756
baseline,8671.036024032039
baseline,8661.03482907929
baseline,8671.036024032039
baseline,8801.051558417756
baseline,8771.047973559513
baseline,8781.04916851226
baseline,8601.027659362806
baseline,8691.038413937533
baseline,8641.032439173796
baseline,8641.032439173796
baseline,8771.047973559513
baseline,8641.032439173796
baseline,8611.028854315553
baseline,8791.050363465007
baseline,8681.037218984786
baseline,8711.040803843029
baseline,8651.033634126543
baseline,8831.055143275997
baseline,8621.0300492683
baseline,8551.021684599069
baseline,8601.027659362806
baseline,8721.041998795776
baseline,8731.043193748523
baseline,8621.0300492683
baseline,8601.027659362806
baseline,8631.031244221049
baseline,8601.027659362806
baseline,8621.0300492683
baseline,8711.040803843029
baseline,8731.043193748523
baseline,8631.031244221049
baseline,8751.045583654017
baseline,8651.033634126543
baseline,8741.04438870127
baseline,8751.045583654017
baseline,8641.032439173796
baseline,8681.037218984786
baseline,8811.052753370503
baseline,8751.045583654017
baseline,8961.070677661713
baseline,8651.033634126543
baseline,8641.032439173796
baseline,8701.03960889028
baseline,8631.031244221049
baseline,8631.031244221049
baseline,8651.033634126543
baseline,8781.04916851226
baseline,8641.032439173796
baseline,8631.031244221049
baseline,8721.041998795776
baseline,9681.15671425953
baseline,8651.033634126543
baseline,8681.037218984786
baseline,8681.037218984786
baseline,9091.08621204743
baseline,8661.03482907929
baseline,8721.041998795776
baseline,8601.027659362806
baseline,8671.036024032039
baseline,8551.021684599069
baseline,8651.033634126543
baseline,8651.033634126543
baseline,8851.057533181493
baseline,8641.032439173796
baseline,8621.0300492683
baseline,8621.0300492683
baseline,8651.033634126543
baseline,8741.04438870127
